Step,Normal_Reward_Eps_0,Normal_Reward_Eps_0.01,Normal_Reward_Eps_0.1,Binomial_Reward_Eps_0,Binomial_Reward_Eps_0.01,Binomial_Reward_Eps_0.1,Bernoulli_Reward_Eps_0,Bernoulli_Reward_Eps_0.01,Bernoulli_Reward_Eps_0.1,Normal_Opt_Eps_0,Normal_Opt_Eps_0.01,Normal_Opt_Eps_0.1,Binomial_Opt_Eps_0,Binomial_Opt_Eps_0.01,Binomial_Opt_Eps_0.1,Bernoulli_Opt_Eps_0,Bernoulli_Opt_Eps_0.01,Bernoulli_Opt_Eps_0.1
34,1.5444175677237058,2.9006190992441545,7.405485079133079,6.874,6.92,7.814,0.078,0.144,0.338,0.0,0.03,0.256,0.0,0.034,0.204,0.0,0.012,0.196
35,1.556830755796677,2.9186063078078575,7.3270408721255,6.912,7.126,7.91,0.096,0.112,0.328,0.0,0.03,0.26,0.0,0.036,0.232,0.0,0.014,0.192
36,1.5353672708037727,2.998457602880284,7.560311149326004,6.754,7.016,8.174,0.104,0.156,0.342,0.0,0.03,0.272,0.0,0.036,0.234,0.0,0.014,0.202
37,1.5100321045969238,2.8933621120578,7.494101928265525,6.89,7.02,7.992,0.098,0.124,0.34,0.0,0.03,0.26,0.0,0.036,0.238,0.0,0.014,0.202
38,1.6445345723517135,2.9544608805485777,7.504230890072952,6.75,7.154,8.066,0.114,0.13,0.318,0.0,0.03,0.262,0.0,0.036,0.244,0.0,0.012,0.2
39,1.5119056368885115,3.038187269940131,7.600577503862725,6.91,7.074,8.056,0.096,0.114,0.37,0.0,0.032,0.264,0.0,0.038,0.252,0.0,0.012,0.224
40,1.4790585633335986,3.158150977337679,7.632890742734606,6.908,7.106,8.108,0.092,0.112,0.344,0.0,0.032,0.272,0.0,0.04,0.258,0.0,0.014,0.218
41,1.530803441402624,3.049948189809979,7.719279461255935,6.682,7.144,8.214,0.114,0.13,0.356,0.0,0.032,0.274,0.0,0.04,0.27,0.0,0.016,0.232
42,1.517205600998907,3.076720091168783,7.710238579866445,6.824,7.044,8.162,0.124,0.142,0.362,0.0,0.032,0.286,0.0,0.04,0.262,0.0,0.018,0.24
43,1.643481851839684,3.2330791070105147,7.76509754224226,6.766,7.024,8.244,0.102,0.142,0.344,0.0,0.034,0.292,0.0,0.04,0.282,0.0,0.016,0.24
44,1.6297049240028518,3.216263455152385,7.810192203602953,6.858,7.108,8.232,0.096,0.122,0.364,0.0,0.036,0.304,0.0,0.04,0.282,0.0,0.016,0.244
45,1.5835492457790874,3.2413354388672624,7.72514993415561,6.922,7.034,8.188,0.098,0.138,0.37,0.0,0.038,0.288,0.0,0.04,0.284,0.0,0.022,0.246
46,1.5395639505045715,3.254464180688251,7.923125304360954,6.932,7.114,8.286,0.102,0.14,0.352,0.0,0.038,0.31,0.0,0.042,0.278,0.0,0.02,0.246
47,1.5778806626548432,3.3117988228148314,7.883474108112416,6.95,7.038,8.29,0.078,0.134,0.366,0.0,0.038,0.312,0.0,0.044,0.284,0.0,0.02,0.27
48,1.485164780963693,3.2368784276210034,7.858524642443668,6.798,7.078,8.36,0.116,0.126,0.392,0.0,0.034,0.314,0.0,0.046,0.282,0.0,0.02,0.282
49,1.5724698744296932,3.36601919224725,7.796588435891593,6.904,7.002,8.314,0.09,0.164,0.392,0.0,0.036,0.308,0.0,0.046,0.284,0.0,0.02,0.288
50,1.5392412482254096,3.44969881962259,7.834773694306983,6.8,7.134,8.22,0.098,0.124,0.404,0.0,0.038,0.312,0.0,0.046,0.29,0.0,0.02,0.278
51,1.5368185989336247,3.466180748072666,8.074549409085757,6.874,7.12,8.372,0.07,0.154,0.396,0.0,0.04,0.338,0.0,0.046,0.308,0.0,0.018,0.284
52,1.6113383119333886,3.3876728255881945,8.064457690891489,6.764,7.206,8.314,0.112,0.11,0.4,0.0,0.04,0.344,0.0,0.048,0.298,0.0,0.022,0.3
53,1.5421658479557447,3.4625467962797853,8.096815297435334,6.812,7.004,8.502,0.102,0.15,0.466,0.0,0.038,0.34,0.0,0.048,0.31,0.0,0.022,0.3
54,1.5910862195202284,3.3567599637446306,8.05738593877302,7.072,7.026,8.572,0.086,0.132,0.388,0.0,0.042,0.348,0.0,0.05,0.33,0.0,0.022,0.318
55,1.5553888944600052,3.49154322335664,8.086579314881618,6.756,7.07,8.322,0.114,0.164,0.378,0.0,0.04,0.352,0.0,0.054,0.31,0.0,0.022,0.314
56,1.6231502283888113,3.486449488007778,8.017027405440322,6.88,7.172,8.54,0.1,0.144,0.412,0.0,0.042,0.348,0.0,0.054,0.324,0.0,0.022,0.33
57,1.569397816693705,3.5895618607536326,8.15760442622701,6.888,7.19,8.454,0.108,0.138,0.446,0.0,0.044,0.38,0.0,0.054,0.342,0.0,0.022,0.312
58,1.60674192878733,3.529425988624516,8.246428425695132,6.824,7.248,8.522,0.08,0.142,0.428,0.0,0.044,0.372,0.0,0.056,0.36,0.0,0.024,0.31
59,1.51550961840635,3.655899714109676,8.229736403520468,6.908,7.088,8.528,0.094,0.146,0.418,0.0,0.044,0.388,0.0,0.056,0.356,0.0,0.022,0.326
60,1.5390968463896415,3.612794775559688,8.277327030360638,6.872,7.174,8.474,0.112,0.152,0.428,0.0,0.044,0.384,0.0,0.056,0.356,0.0,0.022,0.332
61,1.6019404523618859,3.6545729513420118,8.145392395446795,6.774,7.052,8.632,0.114,0.156,0.44,0.0,0.046,0.394,0.0,0.056,0.372,0.0,0.022,0.34
62,1.5757213863248867,3.649585689138672,8.229815544092082,6.776,7.198,8.476,0.1,0.138,0.456,0.0,0.044,0.394,0.0,0.056,0.35,0.0,0.022,0.336
63,1.5529449861082605,3.578892289059939,8.244240385778573,6.896,7.12,8.53,0.082,0.148,0.438,0.0,0.046,0.418,0.0,0.056,0.354,0.0,0.022,0.348
64,1.557554079600869,3.593188155487386,8.405817975834177,6.938,7.118,8.652,0.082,0.162,0.438,0.0,0.046,0.414,0.0,0.056,0.358,0.0,0.022,0.354
65,1.5783308018700393,3.68247906842516,8.332246426308606,6.896,7.124,8.684,0.082,0.174,0.448,0.0,0.044,0.402,0.0,0.058,0.372,0.0,0.024,0.364
66,1.5894175779402713,3.8023390194111046,8.352794751117049,6.648,7.102,8.656,0.134,0.168,0.446,0.0,0.048,0.426,0.0,0.062,0.378,0.0,0.024,0.362
67,1.6001498903207403,3.7809722773462675,8.305214956212751,6.7,7.218,8.584,0.112,0.144,0.448,0.0,0.048,0.42,0.0,0.062,0.382,0.0,0.024,0.366
68,1.5418987994233984,3.8105833368733792,8.226447293570345,6.844,7.25,8.796,0.088,0.14,0.448,0.0,0.05,0.412,0.0,0.06,0.398,0.0,0.026,0.364
69,1.531112656817748,3.7870323097615,8.326376123727805,6.86,7.294,8.764,0.116,0.166,0.464,0.0,0.05,0.426,0.0,0.062,0.394,0.0,0.028,0.37
70,1.572421731462261,3.8076681020573413,8.185402773784359,6.834,7.22,8.63,0.096,0.16,0.42,0.0,0.05,0.398,0.0,0.062,0.396,0.0,0.026,0.35
71,1.5166030850198526,3.870787717920419,8.383880108215518,6.93,7.182,8.756,0.098,0.176,0.468,0.0,0.05,0.406,0.0,0.062,0.402,0.0,0.028,0.374
72,1.6287603041217042,3.778025641693531,8.434912916888194,6.904,7.248,8.736,0.092,0.14,0.436,0.0,0.046,0.446,0.0,0.064,0.392,0.0,0.028,0.378
73,1.5389200752030425,3.9431002174672103,8.469377123999523,6.838,7.182,8.846,0.09,0.136,0.476,0.0,0.05,0.434,0.0,0.066,0.398,0.0,0.032,0.388
74,1.6039088283876872,3.9673706706993723,8.277172849738877,6.756,7.21,8.662,0.11,0.138,0.478,0.0,0.05,0.418,0.0,0.066,0.424,0.0,0.032,0.378
75,1.5767014565805326,3.9533221934903433,8.29622364634993,6.738,7.066,8.894,0.118,0.166,0.464,0.0,0.054,0.412,0.0,0.064,0.416,0.0,0.032,0.408
76,1.5964279762043714,3.979908418569099,8.453594819821179,6.724,7.262,8.69,0.108,0.16,0.472,0.0,0.054,0.44,0.0,0.068,0.406,0.0,0.036,0.386
77,1.6248715683741373,4.028320612137445,8.487077897406897,6.756,7.268,8.638,0.132,0.172,0.44,0.0,0.054,0.428,0.0,0.068,0.406,0.0,0.036,0.406
78,1.5497223960255764,3.983932139911116,8.470682435166248,6.91,7.254,8.61,0.096,0.184,0.472,0.0,0.058,0.44,0.0,0.07,0.39,0.0,0.036,0.4
79,1.5305835097782896,4.1436302934901965,8.549733195475207,6.706,7.214,8.93,0.132,0.15,0.494,0.0,0.058,0.43,0.0,0.066,0.396,0.0,0.04,0.402
80,1.6267097755734037,4.186302075028277,8.444934151411548,6.95,7.278,8.688,0.084,0.154,0.496,0.0,0.058,0.448,0.0,0.07,0.422,0.0,0.042,0.408
81,1.5139584659528573,4.231354492767816,8.481610755446784,6.752,7.342,8.926,0.1,0.166,0.474,0.0,0.056,0.452,0.0,0.07,0.414,0.0,0.04,0.416
82,1.540617752677359,4.132068398653175,8.370869068836662,6.782,7.388,8.862,0.108,0.156,0.476,0.0,0.058,0.446,0.0,0.07,0.42,0.0,0.042,0.416
83,1.497049063482358,4.200191075979041,8.529228511199674,6.79,7.286,8.846,0.1,0.158,0.516,0.0,0.06,0.454,0.0,0.07,0.418,0.0,0.042,0.428
84,1.5814999361319477,4.2934867498959335,8.46290145040865,6.876,7.16,8.846,0.094,0.188,0.492,0.0,0.06,0.432,0.0,0.068,0.426,0.0,0.044,0.442
85,1.5623648797474963,4.189455824340699,8.603292808206273,6.782,7.412,9.048,0.096,0.148,0.488,0.0,0.06,0.468,0.0,0.068,0.45,0.0,0.04,0.432
86,1.589406836850767,4.219225599379389,8.593819720079635,6.882,7.21,8.894,0.084,0.172,0.498,0.0,0.06,0.462,0.0,0.068,0.438,0.0,0.04,0.448
87,1.4995434427183523,4.2759642190137175,8.51269474241697,6.79,7.334,8.988,0.11,0.172,0.5,0.0,0.06,0.462,0.0,0.07,0.464,0.0,0.042,0.44
88,1.6314198028044766,4.184681713401794,8.541481956254867,6.902,7.274,8.902,0.09,0.17,0.496,0.0,0.06,0.46,0.0,0.072,0.44,0.0,0.04,0.45
89,1.5247709002669387,4.341493728746976,8.434309262747384,6.878,7.238,8.894,0.108,0.192,0.48,0.0,0.064,0.46,0.0,0.074,0.45,0.0,0.046,0.452
90,1.5590324973920011,4.291309068041058,8.511125669588269,6.802,7.19,8.888,0.106,0.202,0.476,0.0,0.062,0.474,0.0,0.074,0.458,0.0,0.044,0.472
91,1.6479502059013682,4.383974027203461,8.492378381430715,6.868,7.274,8.888,0.074,0.186,0.512,0.0,0.066,0.472,0.0,0.074,0.45,0.0,0.046,0.466
92,1.5593373402829847,4.432038039570543,8.686065642259743,6.892,7.312,8.97,0.092,0.174,0.522,0.0,0.066,0.504,0.0,0.074,0.454,0.0,0.046,0.45
93,1.534800993486952,4.429806435525137,8.66927412440958,6.772,7.416,8.826,0.11,0.16,0.51,0.0,0.066,0.496,0.0,0.074,0.474,0.0,0.046,0.448
94,1.5407966418236299,4.421788367291756,8.616883021367538,6.834,7.306,8.712,0.096,0.182,0.51,0.0,0.068,0.504,0.0,0.074,0.444,0.0,0.05,0.438
95,1.6039088779443766,4.476452771334377,8.515860451986315,6.782,7.38,8.954,0.108,0.172,0.508,0.0,0.07,0.474,0.0,0.076,0.462,0.0,0.05,0.47
