Step,Normal_Reward_k_0.1,Normal_Reward_k_1,Normal_Reward_k_5,Binomial_Reward_k_0.1,Binomial_Reward_k_1,Binomial_Reward_k_5,Bernoulli_Reward_k_0.1,Bernoulli_Reward_k_1,Bernoulli_Reward_k_5,Normal_Opt_k_0.1,Normal_Opt_k_1,Normal_Opt_k_5,Binomial_Opt_k_0.1,Binomial_Opt_k_1,Binomial_Opt_k_5,Bernoulli_Opt_k_0.1,Bernoulli_Opt_k_1,Bernoulli_Opt_k_5
358,9.438639743208194,9.615181689939893,9.299968263001976,9.854,9.818,9.418,0.79,0.726,0.482,0.882,0.992,0.818,0.992,0.996,0.854,0.562,0.528,0.16
359,9.488246560855671,9.505729163608258,9.312890267085269,9.82,9.878,9.518,0.77,0.734,0.43,0.882,0.982,0.8,0.992,1.0,0.872,0.562,0.516,0.178
360,9.480000309415724,9.536405228787302,9.237807612121093,9.828,9.836,9.43,0.774,0.738,0.502,0.882,0.982,0.796,0.992,1.0,0.852,0.562,0.512,0.194
361,9.365207062779165,9.511544427327374,9.26920407127527,9.806,9.82,9.47,0.752,0.7,0.472,0.882,0.99,0.822,0.992,0.994,0.878,0.564,0.538,0.174
362,9.463738808010548,9.584081352739737,9.250303250013415,9.834,9.826,9.454,0.758,0.716,0.484,0.882,0.986,0.8,0.992,0.996,0.856,0.568,0.542,0.188
363,9.471467192575673,9.541631189678828,9.268706314988094,9.814,9.868,9.438,0.752,0.706,0.466,0.882,0.992,0.806,0.992,1.0,0.854,0.566,0.53,0.164
364,9.468001871298968,9.508804120492568,9.286108507010296,9.842,9.832,9.404,0.802,0.738,0.484,0.882,0.998,0.796,0.992,1.0,0.864,0.566,0.538,0.196
365,9.466975805341978,9.521533075425442,9.207834204884795,9.86,9.82,9.506,0.786,0.71,0.46,0.882,0.998,0.812,0.992,0.998,0.866,0.564,0.536,0.202
366,9.495459934499145,9.582072044628754,9.205605043861052,9.836,9.84,9.426,0.788,0.736,0.474,0.882,0.996,0.776,0.992,0.992,0.842,0.566,0.532,0.14
367,9.487886103631393,9.540624682758203,9.216744280544782,9.846,9.822,9.414,0.776,0.728,0.47,0.882,0.99,0.818,0.992,0.996,0.856,0.566,0.542,0.176
368,9.442057077883787,9.647254799375968,9.147674386885686,9.82,9.816,9.41,0.746,0.712,0.444,0.882,0.994,0.79,0.992,0.998,0.844,0.568,0.53,0.192
369,9.500846620983737,9.546950554274645,9.116347836560095,9.824,9.85,9.526,0.77,0.742,0.462,0.882,0.99,0.752,0.992,0.994,0.848,0.568,0.552,0.144
370,9.483933959189914,9.576932902133445,9.229530257065974,9.828,9.842,9.534,0.756,0.728,0.414,0.882,0.99,0.788,0.992,0.998,0.868,0.568,0.548,0.188
371,9.421041995096742,9.577035713817391,9.317923170923306,9.834,9.794,9.486,0.754,0.694,0.454,0.882,0.992,0.782,0.992,0.996,0.872,0.57,0.552,0.17
372,9.443316159766416,9.49682728049182,9.283075737280235,9.868,9.826,9.404,0.796,0.732,0.492,0.882,0.99,0.804,0.992,0.996,0.87,0.572,0.55,0.184
373,9.528330125432225,9.535892285714283,9.177329361301972,9.836,9.838,9.35,0.778,0.712,0.52,0.882,0.992,0.788,0.992,0.998,0.86,0.572,0.524,0.204
374,9.46939527686545,9.583706407236226,9.206158138621385,9.836,9.82,9.524,0.768,0.716,0.514,0.882,0.996,0.79,0.992,0.998,0.886,0.572,0.508,0.196
375,9.440961224287376,9.485989796470475,9.201512437512731,9.838,9.828,9.518,0.766,0.716,0.464,0.882,0.992,0.794,0.992,0.998,0.892,0.57,0.514,0.182
376,9.407081986219223,9.491831806583496,9.277966570273096,9.836,9.818,9.454,0.778,0.718,0.464,0.882,0.994,0.816,0.992,0.996,0.88,0.572,0.51,0.158
377,9.46921885794833,9.555463223107763,9.27071708587301,9.842,9.822,9.484,0.774,0.72,0.464,0.882,0.99,0.776,0.992,1.0,0.856,0.572,0.526,0.186
378,9.478978890418372,9.5803979067276,9.161365572064165,9.828,9.836,9.504,0.768,0.724,0.454,0.882,0.992,0.79,0.992,0.996,0.872,0.57,0.498,0.166
379,9.464750431250348,9.48102141432982,9.258985161733142,9.832,9.836,9.526,0.756,0.72,0.498,0.882,0.988,0.81,0.992,0.998,0.856,0.568,0.494,0.196
380,9.539325712146558,9.53775553686284,9.19822520754006,9.852,9.854,9.452,0.8,0.75,0.484,0.882,0.99,0.792,0.992,0.998,0.858,0.568,0.5,0.2
381,9.441495349664326,9.61925259670022,9.25125521146108,9.838,9.85,9.568,0.748,0.726,0.462,0.882,0.99,0.79,0.992,0.998,0.884,0.57,0.502,0.2
382,9.461352445726627,9.524946736751366,9.24670716914226,9.8,9.824,9.66,0.754,0.718,0.496,0.882,0.994,0.836,0.992,0.994,0.892,0.574,0.52,0.158
383,9.520424048393483,9.503117295611714,9.251171224483588,9.832,9.834,9.588,0.748,0.7,0.474,0.882,0.988,0.828,0.992,0.99,0.872,0.574,0.516,0.184
384,9.385652853111004,9.571559433025728,9.200936923679507,9.838,9.862,9.632,0.78,0.73,0.472,0.882,0.996,0.82,0.992,0.992,0.878,0.574,0.532,0.176
385,9.462826533704236,9.535018213222768,9.25589757782868,9.848,9.852,9.572,0.79,0.744,0.496,0.882,0.994,0.81,0.992,0.996,0.878,0.572,0.532,0.186
386,9.48917146522984,9.52320262873029,9.224424150725028,9.824,9.808,9.644,0.76,0.71,0.466,0.882,0.99,0.792,0.992,0.996,0.89,0.572,0.552,0.154
387,9.585393039461604,9.534650026634377,9.269633015472127,9.83,9.808,9.61,0.79,0.7,0.458,0.882,0.996,0.792,0.992,0.998,0.894,0.572,0.562,0.17
388,9.489184935704133,9.585675416885824,9.21905431618502,9.842,9.824,9.626,0.778,0.724,0.468,0.882,0.998,0.788,0.992,0.998,0.884,0.572,0.57,0.182
389,9.33579036537462,9.536596236911915,9.25578686152526,9.778,9.842,9.68,0.724,0.716,0.472,0.882,0.992,0.8,0.992,0.996,0.89,0.572,0.566,0.178
390,9.48679840868641,9.553998758065301,9.278892625738322,9.848,9.802,9.65,0.79,0.696,0.474,0.882,0.996,0.82,0.992,0.996,0.88,0.57,0.536,0.18
391,9.569382224658217,9.476471767004627,9.25609456433855,9.802,9.81,9.65,0.746,0.72,0.5,0.884,0.994,0.796,0.992,1.0,0.898,0.57,0.508,0.196
392,9.428340079795833,9.578985200840911,9.226110541542935,9.84,9.836,9.754,0.792,0.71,0.47,0.884,0.992,0.798,0.992,0.998,0.93,0.57,0.514,0.206
393,9.376564982509874,9.525899362304463,9.267857837462913,9.814,9.858,9.636,0.758,0.738,0.51,0.884,0.996,0.826,0.992,0.996,0.888,0.57,0.492,0.198
394,9.426077446674164,9.453137776384889,9.261817242549538,9.818,9.846,9.666,0.748,0.71,0.476,0.884,0.99,0.792,0.992,1.0,0.884,0.572,0.518,0.192
395,9.56268232929104,9.55599746914413,9.336918250470356,9.85,9.84,9.672,0.778,0.728,0.504,0.884,0.988,0.794,0.992,0.992,0.886,0.572,0.522,0.194
396,9.511167987163562,9.560553066779992,9.276255916850529,9.812,9.854,9.714,0.752,0.722,0.428,0.884,0.992,0.798,0.992,0.992,0.89,0.574,0.558,0.19
397,9.458047006162658,9.554230407226243,9.238547831712289,9.798,9.828,9.662,0.756,0.742,0.49,0.884,0.992,0.772,0.992,0.994,0.88,0.57,0.546,0.18
398,9.435955370380132,9.53456049706604,9.18811970992289,9.834,9.788,9.624,0.784,0.69,0.504,0.884,0.984,0.774,0.992,0.994,0.868,0.568,0.534,0.188
399,9.385044855736435,9.542346330927218,9.226557820036989,9.82,9.838,9.628,0.766,0.732,0.468,0.884,0.986,0.796,0.992,0.994,0.88,0.568,0.528,0.202
400,9.507003825765567,9.534005855296613,9.293566014354916,9.794,9.83,9.656,0.748,0.746,0.462,0.884,0.99,0.82,0.992,0.998,0.906,0.568,0.52,0.168
401,9.485476792764583,9.553509987460904,9.2002887064797,9.848,9.842,9.706,0.798,0.726,0.482,0.884,0.992,0.806,0.992,0.998,0.914,0.566,0.514,0.186
402,9.478265729237512,9.556200738666352,9.141851915683462,9.85,9.85,9.712,0.77,0.732,0.46,0.884,0.99,0.804,0.992,1.0,0.902,0.57,0.52,0.178
403,9.492885677585123,9.516337704534847,9.2324967542105,9.832,9.806,9.678,0.79,0.71,0.5,0.884,0.986,0.802,0.992,0.998,0.896,0.57,0.494,0.184
404,9.524722986584662,9.56475939297416,9.221422754559974,9.784,9.838,9.654,0.73,0.712,0.466,0.884,0.99,0.8,0.992,0.998,0.894,0.574,0.526,0.168
405,9.406371115956057,9.591216686225769,9.401351792389114,9.84,9.83,9.702,0.78,0.734,0.438,0.884,0.988,0.826,0.992,1.0,0.882,0.574,0.558,0.174
406,9.45461588311602,9.605612461402018,9.303082749463815,9.832,9.816,9.64,0.776,0.694,0.502,0.884,0.992,0.818,0.992,1.0,0.876,0.572,0.536,0.204
407,9.47736911026907,9.540883824474221,9.264586240829075,9.818,9.822,9.684,0.754,0.706,0.49,0.884,0.994,0.834,0.992,0.996,0.898,0.572,0.57,0.168
408,9.562674820022258,9.514998831926194,9.220648133346975,9.8,9.82,9.642,0.744,0.668,0.418,0.884,0.996,0.83,0.992,1.0,0.886,0.572,0.532,0.16
409,9.424815229101762,9.55519902893564,9.29872040801241,9.838,9.822,9.664,0.756,0.686,0.506,0.884,0.996,0.814,0.992,1.0,0.894,0.572,0.522,0.186
410,9.48923038988509,9.62259915284432,9.210523147722514,9.844,9.84,9.686,0.786,0.73,0.494,0.884,0.994,0.826,0.992,0.998,0.902,0.574,0.502,0.238
411,9.363869933220881,9.583604150287524,9.377076056009804,9.836,9.848,9.7,0.794,0.748,0.452,0.884,0.996,0.812,0.992,1.0,0.904,0.576,0.498,0.158
412,9.4560618820458,9.500623331116921,9.290040096645399,9.842,9.838,9.716,0.796,0.736,0.486,0.884,0.992,0.818,0.992,1.0,0.93,0.576,0.506,0.2
413,9.37910705019345,9.63573306182238,9.314378882010875,9.822,9.832,9.656,0.762,0.728,0.5,0.884,0.992,0.792,0.992,1.0,0.894,0.576,0.518,0.172
414,9.408587751061475,9.499426513546338,9.398253350628467,9.832,9.818,9.676,0.766,0.698,0.486,0.884,0.99,0.844,0.992,1.0,0.9,0.576,0.514,0.186
415,9.41132819629486,9.49669199292646,9.26533446757066,9.854,9.834,9.652,0.782,0.72,0.438,0.884,0.99,0.84,0.992,0.998,0.888,0.574,0.518,0.198
416,9.451485850146888,9.58991199429735,9.200519728286718,9.842,9.826,9.698,0.776,0.702,0.52,0.884,0.996,0.792,0.992,0.996,0.91,0.574,0.542,0.196
417,9.340620836723325,9.680488866241527,9.224120967250336,9.844,9.87,9.66,0.774,0.732,0.458,0.884,0.996,0.804,0.992,0.996,0.904,0.576,0.526,0.174
418,9.525224872258999,9.545604501253653,9.265045000058274,9.8,9.842,9.686,0.748,0.75,0.5,0.884,0.994,0.808,0.992,0.994,0.894,0.578,0.538,0.186
419,9.44463174974593,9.598099744034167,9.338469834987055,9.828,9.792,9.664,0.742,0.688,0.468,0.884,0.99,0.826,0.992,0.998,0.884,0.578,0.534,0.194
420,9.474926921796067,9.530423545545334,9.370837810654546,9.828,9.814,9.694,0.746,0.706,0.466,0.884,0.992,0.842,0.992,1.0,0.898,0.574,0.568,0.188
421,9.47659763982062,9.545108297978503,9.260243645484133,9.838,9.798,9.646,0.772,0.68,0.432,0.884,0.992,0.836,0.992,0.994,0.89,0.576,0.542,0.198
422,9.46002462778825,9.623321822114146,9.280447717760664,9.832,9.846,9.682,0.768,0.746,0.434,0.884,0.992,0.832,0.992,0.998,0.882,0.578,0.552,0.16
423,9.446873777426076,9.543846450066996,9.346334679575495,9.856,9.836,9.636,0.81,0.728,0.474,0.884,0.994,0.846,0.992,1.0,0.878,0.578,0.562,0.17
424,9.505637998830144,9.572347876965177,9.317474889867796,9.816,9.836,9.726,0.74,0.766,0.5,0.884,0.994,0.818,0.992,0.998,0.918,0.58,0.592,0.196
425,9.40427913885764,9.575617221937232,9.306614161313636,9.86,9.818,9.646,0.804,0.748,0.492,0.884,0.99,0.806,0.992,0.998,0.89,0.578,0.592,0.206
426,9.451750484712901,9.53684011932144,9.274382258040436,9.786,9.84,9.662,0.74,0.722,0.45,0.884,0.992,0.818,0.992,1.0,0.888,0.578,0.586,0.17
427,9.47882707984798,9.601278396138275,9.251506394970683,9.826,9.814,9.664,0.764,0.734,0.512,0.884,0.98,0.834,0.992,0.998,0.88,0.578,0.612,0.176
428,9.486520383109184,9.51399983210937,9.372619067283367,9.794,9.876,9.664,0.736,0.76,0.504,0.884,0.988,0.824,0.992,0.998,0.884,0.576,0.574,0.206
429,9.434176891642279,9.47582811634003,9.335037566853542,9.79,9.82,9.676,0.738,0.712,0.472,0.884,0.988,0.838,0.992,0.998,0.898,0.578,0.59,0.188
430,9.525253342388803,9.563630580041893,9.320231921924789,9.812,9.828,9.732,0.756,0.716,0.5,0.884,0.99,0.826,0.992,0.996,0.93,0.574,0.57,0.16
431,9.43945372602028,9.595511932596168,9.23586795406367,9.852,9.858,9.65,0.798,0.742,0.466,0.884,0.994,0.824,0.992,0.998,0.882,0.578,0.566,0.162
432,9.516889099914854,9.609599120065463,9.300438634817812,9.86,9.85,9.668,0.796,0.748,0.494,0.884,0.996,0.818,0.992,1.0,0.902,0.574,0.54,0.2
433,9.403682348801642,9.522684512668095,9.29675363933523,9.85,9.82,9.702,0.802,0.708,0.466,0.886,0.996,0.84,0.992,0.998,0.908,0.574,0.548,0.186
434,9.40685995614919,9.60887900495736,9.237878657383924,9.854,9.836,9.626,0.792,0.728,0.488,0.884,0.994,0.82,0.992,1.0,0.878,0.574,0.526,0.196
435,9.431340039251545,9.523287370801935,9.278151145470495,9.828,9.836,9.656,0.758,0.762,0.466,0.884,0.998,0.822,0.992,1.0,0.896,0.574,0.528,0.166
436,9.509356115074514,9.567715984661884,9.352557163419558,9.84,9.812,9.63,0.782,0.724,0.508,0.884,0.998,0.822,0.992,0.998,0.906,0.574,0.526,0.196
437,9.462150032190097,9.593600749825741,9.253453781669263,9.826,9.846,9.664,0.792,0.738,0.484,0.884,0.994,0.818,0.992,1.0,0.878,0.576,0.522,0.148
438,9.504283795924048,9.56799219880286,9.325794630896189,9.824,9.848,9.608,0.772,0.75,0.474,0.884,0.998,0.826,0.992,1.0,0.87,0.576,0.518,0.174
439,9.500426485119492,9.556630468946981,9.25664676674227,9.808,9.864,9.692,0.77,0.77,0.448,0.884,1.0,0.818,0.992,1.0,0.864,0.576,0.52,0.196
440,9.416629492358217,9.593569393317468,9.276196371682952,9.82,9.856,9.558,0.752,0.764,0.458,0.884,1.0,0.816,0.992,1.0,0.86,0.574,0.548,0.19
441,9.474036237932854,9.552045857869,9.275777826098969,9.828,9.824,9.626,0.782,0.738,0.496,0.884,0.996,0.826,0.992,1.0,0.88,0.574,0.574,0.166
442,9.467819706102974,9.630384247123574,9.205140055471869,9.846,9.838,9.682,0.812,0.74,0.514,0.884,0.996,0.812,0.992,1.0,0.912,0.572,0.574,0.184
443,9.446219232512007,9.577859311667249,9.297044593218727,9.846,9.862,9.656,0.782,0.75,0.492,0.884,0.994,0.832,0.992,0.998,0.886,0.57,0.602,0.194
444,9.442414862433425,9.663418583998471,9.194922416778788,9.81,9.834,9.628,0.768,0.742,0.448,0.884,0.996,0.816,0.992,0.998,0.896,0.57,0.584,0.204
445,9.449649085443045,9.56537429690971,9.296874817256143,9.846,9.84,9.622,0.78,0.75,0.518,0.884,0.998,0.848,0.992,1.0,0.9,0.572,0.578,0.174
446,9.44986382037894,9.5367920626973,9.348503295312684,9.834,9.822,9.718,0.776,0.714,0.516,0.884,0.996,0.85,0.992,1.0,0.9,0.574,0.564,0.17
447,9.434368215952226,9.46466291646479,9.257959740309266,9.816,9.83,9.658,0.77,0.716,0.506,0.884,0.996,0.806,0.992,1.0,0.906,0.576,0.542,0.204
448,9.563120171850146,9.556006450942151,9.29685404302175,9.83,9.832,9.72,0.776,0.734,0.474,0.884,0.994,0.81,0.992,1.0,0.906,0.574,0.556,0.17
449,9.531414240294502,9.487418550029517,9.276899794286404,9.836,9.85,9.594,0.772,0.74,0.472,0.884,0.996,0.814,0.992,1.0,0.874,0.572,0.554,0.18
450,9.446112110381693,9.475072132855628,9.276604541854988,9.814,9.868,9.666,0.776,0.75,0.53,0.884,0.99,0.832,0.992,1.0,0.898,0.574,0.568,0.208
451,9.467766578143843,9.472732018372376,9.338412529110457,9.824,9.86,9.618,0.754,0.732,0.468,0.884,0.994,0.834,0.992,1.0,0.886,0.574,0.58,0.21
452,9.518189284097055,9.497142398560552,9.349916442841682,9.802,9.842,9.62,0.75,0.706,0.456,0.884,0.992,0.828,0.992,1.0,0.886,0.574,0.57,0.176
453,9.450304052113841,9.533333154180129,9.166583313191506,9.84,9.822,9.636,0.798,0.738,0.474,0.884,0.986,0.812,0.992,0.998,0.886,0.574,0.566,0.182
454,9.503926382429455,9.55297468863182,9.28693641454575,9.846,9.806,9.57,0.808,0.706,0.492,0.884,0.984,0.796,0.992,1.0,0.896,0.576,0.536,0.196
455,9.410248514055041,9.553328571599948,9.283359827793658,9.84,9.84,9.664,0.778,0.732,0.48,0.884,0.992,0.828,0.992,1.0,0.906,0.576,0.53,0.216
456,9.440371625997258,9.597174918485717,9.305252756677817,9.842,9.828,9.668,0.774,0.716,0.47,0.884,0.984,0.868,0.992,0.996,0.898,0.578,0.52,0.174
457,9.442624436172187,9.520864152109386,9.356629707661147,9.842,9.828,9.64,0.782,0.732,0.466,0.884,0.99,0.84,0.992,0.998,0.902,0.578,0.524,0.186
458,9.450389705590782,9.53056513001782,9.39119273896467,9.84,9.856,9.624,0.756,0.794,0.47,0.884,0.988,0.838,0.992,0.994,0.892,0.578,0.546,0.178
459,9.515915290873178,9.526158389184491,9.3852492387534,9.838,9.812,9.642,0.782,0.718,0.468,0.884,0.99,0.86,0.992,1.0,0.898,0.578,0.562,0.194
460,9.554654249510508,9.54925135939511,9.383981969505884,9.818,9.844,9.608,0.76,0.762,0.466,0.884,0.986,0.836,0.992,1.0,0.894,0.578,0.544,0.182
461,9.472116568329344,9.560596111534387,9.300734820396578,9.82,9.844,9.62,0.754,0.738,0.524,0.884,0.996,0.848,0.992,1.0,0.892,0.578,0.544,0.186
462,9.465777868728114,9.510101040896716,9.44259391767188,9.846,9.822,9.632,0.754,0.728,0.474,0.884,0.99,0.87,0.992,0.996,0.902,0.578,0.55,0.196
463,9.536966029083606,9.503858557551194,9.262395240153964,9.834,9.84,9.692,0.746,0.752,0.456,0.884,0.994,0.834,0.992,0.998,0.918,0.578,0.55,0.198
464,9.43433054065041,9.556010986124214,9.254572815750564,9.836,9.818,9.664,0.784,0.724,0.526,0.884,0.998,0.834,0.992,1.0,0.912,0.578,0.548,0.174
465,9.509130698605768,9.539371561829265,9.240907084774381,9.824,9.824,9.556,0.76,0.736,0.494,0.884,0.994,0.834,0.992,1.0,0.886,0.578,0.538,0.184
466,9.402836953954921,9.543675743760192,9.340556033793128,9.836,9.818,9.622,0.774,0.74,0.484,0.884,1.0,0.844,0.992,0.998,0.878,0.576,0.562,0.186
467,9.459848731162662,9.64318840217444,9.374117900393129,9.8,9.818,9.65,0.746,0.732,0.488,0.884,1.0,0.84,0.992,0.998,0.87,0.576,0.58,0.192
468,9.481299627842581,9.509277062342226,9.35155017475832,9.844,9.83,9.558,0.778,0.74,0.498,0.884,0.996,0.848,0.992,0.998,0.882,0.576,0.578,0.228
469,9.544175708200854,9.476406325057644,9.261524437041611,9.836,9.87,9.636,0.762,0.768,0.514,0.884,1.0,0.824,0.992,0.998,0.896,0.576,0.584,0.208
470,9.469469626953844,9.620794452055595,9.330935194590918,9.818,9.824,9.556,0.782,0.746,0.504,0.884,0.998,0.842,0.992,1.0,0.886,0.578,0.574,0.198
471,9.453995712355894,9.53742787598106,9.285251965628236,9.844,9.874,9.62,0.776,0.76,0.478,0.884,0.998,0.828,0.992,1.0,0.882,0.578,0.582,0.174
472,9.459987482461937,9.604980026918245,9.356537519844396,9.82,9.824,9.556,0.754,0.73,0.456,0.884,0.994,0.864,0.992,1.0,0.878,0.576,0.574,0.168
473,9.429921938490104,9.551274041987629,9.293416785136287,9.822,9.858,9.622,0.762,0.746,0.472,0.884,0.996,0.826,0.992,1.0,0.896,0.576,0.578,0.19
474,9.444816859327938,9.549082421434594,9.284319830881673,9.818,9.848,9.634,0.774,0.75,0.462,0.884,0.992,0.828,0.992,1.0,0.892,0.576,0.57,0.188
475,9.429324485561073,9.524050145090651,9.307502718203875,9.81,9.844,9.616,0.74,0.774,0.464,0.884,0.998,0.844,0.992,1.0,0.894,0.576,0.582,0.208
476,9.512229143890458,9.549748440816185,9.354913896301937,9.814,9.852,9.604,0.74,0.758,0.472,0.884,0.992,0.842,0.992,1.0,0.866,0.578,0.576,0.184
477,9.411214763957565,9.57285635701531,9.373534747150524,9.814,9.814,9.586,0.756,0.764,0.516,0.884,0.996,0.862,0.992,0.994,0.888,0.574,0.58,0.196
478,9.49440266529286,9.608792893120603,9.265603132494347,9.808,9.846,9.634,0.77,0.752,0.46,0.884,0.994,0.838,0.992,0.996,0.914,0.576,0.578,0.19
479,9.456526861836196,9.54504671920044,9.258476158674627,9.854,9.82,9.566,0.788,0.738,0.472,0.884,0.99,0.824,0.992,0.994,0.894,0.576,0.566,0.222
480,9.534118967653752,9.527285430030352,9.254835124073525,9.828,9.83,9.566,0.766,0.74,0.454,0.884,0.998,0.814,0.992,0.996,0.888,0.576,0.572,0.19
481,9.432533367434992,9.608279240761098,9.181920453398027,9.822,9.842,9.65,0.726,0.768,0.484,0.884,0.994,0.838,0.992,0.996,0.906,0.576,0.568,0.154
482,9.546993139544158,9.504094122774603,9.261945286965748,9.86,9.828,9.69,0.802,0.742,0.512,0.884,1.0,0.824,0.992,1.0,0.9,0.576,0.57,0.206
483,9.482743358468495,9.572428099951908,9.290628767069679,9.822,9.828,9.604,0.754,0.744,0.472,0.884,0.998,0.838,0.992,1.0,0.888,0.576,0.562,0.17
484,9.412328764777573,9.512449559478686,9.388555265025019,9.828,9.856,9.582,0.784,0.752,0.492,0.886,0.998,0.836,0.992,1.0,0.874,0.576,0.566,0.19
485,9.446532330170848,9.547801080113704,9.336144002060283,9.834,9.85,9.62,0.776,0.726,0.484,0.886,0.996,0.84,0.992,1.0,0.902,0.576,0.564,0.164
486,9.52544570583332,9.543297365227083,9.193043000767263,9.844,9.838,9.596,0.784,0.75,0.476,0.886,1.0,0.818,0.992,1.0,0.878,0.576,0.568,0.162
487,9.449457802577049,9.54718567986352,9.210691779250336,9.8,9.826,9.646,0.748,0.736,0.482,0.886,0.988,0.83,0.992,1.0,0.906,0.578,0.564,0.186
488,9.53675446336961,9.533271258747954,9.34723782478368,9.834,9.814,9.618,0.766,0.742,0.47,0.886,0.992,0.814,0.992,1.0,0.906,0.58,0.588,0.172
489,9.461689065831026,9.591839210737179,9.331235055868005,9.83,9.828,9.644,0.776,0.732,0.474,0.886,0.988,0.838,0.992,1.0,0.916,0.582,0.586,0.19
490,9.471908599583633,9.49825334763148,9.379108921528562,9.832,9.828,9.59,0.758,0.764,0.51,0.886,0.994,0.84,0.992,0.998,0.884,0.58,0.57,0.252
491,9.474061236414153,9.54713932840288,9.28845943905725,9.824,9.874,9.628,0.786,0.79,0.46,0.886,0.99,0.84,0.992,0.998,0.892,0.578,0.574,0.186
492,9.453042021985429,9.507251781621443,9.310459087765034,9.83,9.852,9.668,0.754,0.76,0.46,0.886,0.99,0.832,0.992,1.0,0.9,0.58,0.57,0.14
493,9.468663386559335,9.475297151757385,9.419544904459514,9.814,9.846,9.604,0.752,0.776,0.516,0.886,0.99,0.846,0.992,1.0,0.876,0.578,0.588,0.202
494,9.549296843876764,9.515561868748673,9.397193182284092,9.822,9.862,9.662,0.762,0.796,0.474,0.886,0.984,0.856,0.992,1.0,0.914,0.578,0.596,0.236
495,9.397857227210352,9.61678016583654,9.429876986939286,9.832,9.824,9.638,0.772,0.744,0.46,0.886,0.99,0.856,0.992,1.0,0.888,0.578,0.582,0.17
496,9.450631953240562,9.580330498597851,9.374261345668641,9.834,9.826,9.666,0.776,0.74,0.512,0.886,0.992,0.864,0.992,1.0,0.894,0.578,0.572,0.194
497,9.445183157959134,9.466459466196643,9.309098634646391,9.842,9.818,9.702,0.79,0.696,0.438,0.886,0.99,0.866,0.992,1.0,0.922,0.576,0.566,0.21
498,9.51437967100898,9.603169583566824,9.270859399641559,9.828,9.85,9.694,0.78,0.76,0.486,0.886,0.994,0.842,0.992,1.0,0.91,0.574,0.562,0.168
499,9.502409636597818,9.518764762771593,9.28777158846273,9.832,9.862,9.704,0.77,0.746,0.45,0.886,0.992,0.826,0.992,1.0,0.918,0.574,0.576,0.176
500,9.506107368444805,9.520627922512203,9.369790326645656,9.842,9.814,9.66,0.782,0.732,0.512,0.886,0.992,0.842,0.992,1.0,0.898,0.572,0.59,0.222
501,9.447895102720212,9.570359754476153,9.271534260659871,9.822,9.822,9.678,0.77,0.766,0.51,0.886,0.99,0.818,0.992,1.0,0.89,0.572,0.586,0.19
502,9.435709075575552,9.522249152805644,9.308903095815076,9.846,9.836,9.61,0.782,0.728,0.49,0.886,0.994,0.838,0.992,1.0,0.884,0.574,0.578,0.224
503,9.519621192955443,9.520586883286821,9.28535518142391,9.832,9.846,9.658,0.754,0.772,0.5,0.886,0.994,0.848,0.992,1.0,0.898,0.576,0.594,0.202
504,9.492584180817216,9.566682759351764,9.323646274294445,9.834,9.88,9.67,0.732,0.756,0.526,0.886,0.992,0.848,0.992,1.0,0.906,0.576,0.566,0.17
505,9.454792158925114,9.532045329661484,9.292113416858232,9.826,9.828,9.668,0.764,0.76,0.486,0.886,0.994,0.846,0.992,0.996,0.906,0.578,0.604,0.218
506,9.44460760668955,9.602824220701766,9.277381706582247,9.838,9.834,9.646,0.804,0.782,0.476,0.886,0.988,0.846,0.992,1.0,0.902,0.578,0.588,0.19
507,9.565044853716135,9.568503931845662,9.269740807997927,9.814,9.818,9.686,0.76,0.75,0.47,0.886,0.994,0.842,0.992,0.998,0.926,0.578,0.596,0.17
508,9.494225989431046,9.550189754282538,9.245997211151225,9.826,9.862,9.738,0.778,0.768,0.474,0.886,0.992,0.844,0.992,1.0,0.932,0.578,0.57,0.192
509,9.457536811080603,9.593059312997775,9.2679804738708,9.83,9.826,9.672,0.762,0.738,0.474,0.886,0.994,0.836,0.992,1.0,0.912,0.578,0.588,0.202
510,9.468706317077455,9.49681765986332,9.329392826489258,9.824,9.85,9.648,0.754,0.758,0.5,0.886,0.992,0.834,0.992,1.0,0.886,0.576,0.62,0.202
511,9.507341341581027,9.55130340776799,9.262568360555694,9.852,9.856,9.678,0.788,0.768,0.484,0.886,0.996,0.822,0.992,1.0,0.906,0.576,0.592,0.2
512,9.500008920630778,9.482899511223918,9.237480466259148,9.87,9.82,9.684,0.808,0.754,0.514,0.886,0.996,0.822,0.992,1.0,0.902,0.576,0.596,0.192
513,9.508757963296345,9.57442009108671,9.297915749319351,9.858,9.826,9.71,0.8,0.72,0.46,0.886,0.994,0.83,0.992,1.0,0.914,0.576,0.602,0.206
514,9.430638460014832,9.460030557772507,9.41781699375059,9.836,9.842,9.678,0.79,0.754,0.478,0.886,0.996,0.844,0.992,1.0,0.912,0.576,0.606,0.17
515,9.422902089448067,9.625635978301538,9.347481015729683,9.822,9.82,9.76,0.75,0.734,0.488,0.886,0.99,0.858,0.992,1.0,0.93,0.576,0.588,0.16
516,9.466453449288673,9.55330571062161,9.21981039697017,9.834,9.842,9.702,0.76,0.728,0.468,0.886,0.996,0.844,0.992,1.0,0.908,0.576,0.576,0.212
