Step,Normal_Reward_k_0.1,Normal_Reward_k_1,Normal_Reward_k_5,Binomial_Reward_k_0.1,Binomial_Reward_k_1,Binomial_Reward_k_5,Bernoulli_Reward_k_0.1,Bernoulli_Reward_k_1,Bernoulli_Reward_k_5,Normal_Opt_k_0.1,Normal_Opt_k_1,Normal_Opt_k_5,Binomial_Opt_k_0.1,Binomial_Opt_k_1,Binomial_Opt_k_5,Bernoulli_Opt_k_0.1,Bernoulli_Opt_k_1,Bernoulli_Opt_k_5
35,9.358084566232213,9.419247602629506,8.23982692347629,9.86,9.804,8.722,0.772,0.67,0.374,0.852,0.914,0.406,0.992,0.978,0.512,0.452,0.326,0.09
36,9.472746990240374,9.468695512355085,8.161140958193837,9.814,9.838,8.522,0.756,0.7,0.488,0.852,0.914,0.404,0.992,0.986,0.496,0.44,0.356,0.116
37,9.467489448295048,9.38629860466507,8.322894318311123,9.802,9.82,8.156,0.716,0.688,0.582,0.86,0.896,0.43,0.992,0.98,0.494,0.448,0.298,0.242
38,9.429876478893053,9.500615217462977,8.246365446110302,9.802,9.824,7.346,0.728,0.662,0.504,0.854,0.92,0.416,0.992,0.984,0.406,0.46,0.358,0.21
39,9.45719887565383,9.427776055149605,8.161430245161567,9.85,9.848,7.938,0.78,0.672,0.304,0.854,0.912,0.384,0.992,0.99,0.456,0.466,0.338,0.132
40,9.393687269876063,9.439576296748397,8.14731035976165,9.83,9.818,8.15,0.75,0.636,0.18,0.858,0.91,0.412,0.992,0.99,0.458,0.452,0.316,0.048
41,9.486816549103512,9.406527170848115,8.222193430727712,9.808,9.822,8.352,0.75,0.628,0.148,0.858,0.918,0.448,0.992,0.98,0.5,0.45,0.314,0.012
42,9.404927336942217,9.528327353022867,8.14446968175937,9.828,9.808,8.662,0.756,0.622,0.196,0.854,0.934,0.398,0.992,0.98,0.522,0.452,0.296,0.008
43,9.49503485206019,9.47165711073102,8.261775344045837,9.794,9.828,9.012,0.732,0.63,0.374,0.86,0.926,0.444,0.992,0.986,0.548,0.468,0.306,0.098
44,9.470478286728119,9.529105189369588,8.120755444683263,9.846,9.804,8.98,0.736,0.588,0.512,0.86,0.938,0.386,0.992,0.988,0.586,0.468,0.298,0.152
45,9.460985972774944,9.408446739085639,8.327161928390458,9.822,9.806,8.85,0.732,0.572,0.578,0.864,0.938,0.442,0.992,0.978,0.534,0.466,0.272,0.226
46,9.441923874508904,9.527498355565658,8.100448993747849,9.806,9.854,9.032,0.738,0.568,0.574,0.864,0.928,0.42,0.992,0.99,0.588,0.464,0.278,0.218
47,9.432771303378557,9.49545667089965,8.43166780737026,9.82,9.81,8.988,0.748,0.594,0.498,0.868,0.936,0.444,0.992,0.98,0.588,0.466,0.296,0.186
48,9.422772456216945,9.46920493180537,8.217594348519556,9.844,9.774,9.02,0.772,0.58,0.464,0.866,0.962,0.452,0.992,0.966,0.586,0.456,0.23,0.164
49,9.44525011010719,9.463645683440477,8.10155233481182,9.838,9.818,9.07,0.724,0.524,0.444,0.864,0.964,0.424,0.992,0.988,0.588,0.456,0.24,0.13
50,9.472722671314951,9.584233278186467,8.248008581831515,9.848,9.822,8.932,0.8,0.512,0.366,0.864,0.96,0.476,0.992,0.99,0.564,0.466,0.198,0.11
51,9.456241180969227,9.544998985659278,8.304732581035168,9.818,9.83,8.646,0.738,0.502,0.274,0.868,0.95,0.45,0.992,0.976,0.544,0.47,0.2,0.076
52,9.393507255523682,9.516041438282304,8.24159170062485,9.784,9.798,8.67,0.694,0.536,0.15,0.868,0.956,0.438,0.992,0.974,0.586,0.48,0.244,0.034
53,9.54393259486576,9.476103888047216,8.281944794233505,9.852,9.846,8.084,0.764,0.548,0.184,0.87,0.952,0.45,0.992,0.982,0.486,0.474,0.25,0.028
54,9.468505275295485,9.4536692725303,8.30401568615684,9.844,9.798,7.804,0.806,0.49,0.366,0.87,0.954,0.444,0.992,0.982,0.478,0.482,0.248,0.108
55,9.443639502402698,9.539819574625627,8.192266182803321,9.84,9.818,7.964,0.776,0.536,0.464,0.87,0.952,0.44,0.992,0.982,0.494,0.498,0.24,0.152
56,9.46730846673533,9.519653940259525,8.52438903983457,9.852,9.798,7.59,0.782,0.502,0.498,0.87,0.932,0.442,0.992,0.978,0.48,0.498,0.254,0.184
57,9.417638604304772,9.561285464674501,8.38809162111753,9.854,9.786,8.05,0.776,0.496,0.484,0.87,0.958,0.504,0.992,0.984,0.53,0.508,0.218,0.158
58,9.457896527126085,9.541397063748892,8.252218719525224,9.83,9.802,8.468,0.764,0.522,0.464,0.868,0.948,0.516,0.992,0.974,0.562,0.502,0.234,0.158
59,9.494984426165487,9.529131610651648,8.313523018710638,9.832,9.804,9.0,0.762,0.496,0.438,0.872,0.946,0.442,0.992,0.98,0.63,0.498,0.262,0.132
60,9.515390051693162,9.581023715926808,8.260153341833727,9.82,9.812,9.04,0.76,0.572,0.494,0.87,0.958,0.488,0.992,0.99,0.618,0.494,0.278,0.15
61,9.51920863406031,9.507029152152413,8.30819398710835,9.816,9.8,9.018,0.74,0.554,0.498,0.872,0.95,0.478,0.992,0.974,0.622,0.504,0.282,0.168
62,9.548201690701799,9.46770814649304,8.388276753050993,9.844,9.85,9.058,0.758,0.604,0.486,0.872,0.95,0.494,0.992,0.99,0.622,0.498,0.294,0.176
63,9.507193081114048,9.447283050858712,8.297030996063093,9.83,9.836,9.126,0.744,0.592,0.42,0.874,0.942,0.478,0.992,0.988,0.628,0.498,0.282,0.176
64,9.465476424706388,9.522790746088972,8.359285175629646,9.85,9.784,9.156,0.778,0.6,0.262,0.874,0.962,0.522,0.992,0.978,0.598,0.494,0.302,0.094
65,9.4820421353778,9.42314390274585,8.457166229042048,9.836,9.824,9.156,0.76,0.648,0.21,0.876,0.944,0.486,0.992,0.974,0.616,0.494,0.338,0.054
66,9.424952721092662,9.47978481490461,8.470254435851517,9.838,9.792,9.086,0.75,0.638,0.232,0.876,0.946,0.486,0.992,0.984,0.644,0.488,0.314,0.056
67,9.440944445343312,9.478901266679761,8.416829765390837,9.842,9.788,8.81,0.776,0.624,0.308,0.876,0.948,0.486,0.992,0.984,0.588,0.486,0.352,0.068
68,9.51781333479473,9.511412552205014,8.40950324639191,9.818,9.774,8.858,0.754,0.638,0.432,0.874,0.95,0.506,0.992,0.984,0.614,0.482,0.348,0.122
69,9.523104652182733,9.553265424880154,8.449735425020712,9.84,9.8,8.92,0.768,0.648,0.542,0.876,0.95,0.48,0.992,0.966,0.612,0.486,0.332,0.164
70,9.464137161009125,9.601993418410407,8.73753216599757,9.834,9.822,9.144,0.796,0.658,0.524,0.878,0.954,0.552,0.992,0.968,0.68,0.496,0.338,0.216
71,9.470423163646194,9.49198201043541,8.498823664909542,9.85,9.774,8.994,0.79,0.652,0.526,0.878,0.942,0.544,0.992,0.972,0.63,0.494,0.356,0.184
72,9.408485836135313,9.552530954142515,8.423963978796408,9.844,9.8,9.248,0.782,0.69,0.458,0.878,0.946,0.474,0.992,0.976,0.692,0.494,0.39,0.14
73,9.435535680652531,9.567649038249153,8.44909517773929,9.87,9.786,9.222,0.798,0.646,0.468,0.878,0.956,0.51,0.992,0.968,0.676,0.488,0.366,0.116
74,9.570914578546878,9.510751121575227,8.74034708123719,9.808,9.748,9.218,0.756,0.674,0.466,0.878,0.966,0.554,0.99,0.946,0.658,0.488,0.37,0.208
75,9.581057212543438,9.50432205241857,8.54831731546197,9.83,9.764,9.172,0.758,0.648,0.49,0.878,0.966,0.568,0.992,0.958,0.656,0.496,0.346,0.158
76,9.454181608690527,9.568324599073982,8.574296450173351,9.832,9.772,9.334,0.782,0.634,0.272,0.878,0.962,0.548,0.992,0.958,0.672,0.496,0.342,0.102
77,9.515351209746893,9.507203886426488,8.396043278498162,9.832,9.81,9.226,0.764,0.67,0.204,0.878,0.95,0.498,0.992,0.978,0.672,0.496,0.344,0.078
78,9.407716566140076,9.42584972313673,8.655222258039515,9.836,9.776,9.234,0.78,0.634,0.222,0.878,0.968,0.55,0.992,0.976,0.692,0.496,0.302,0.056
79,9.389046542841012,9.54386044557311,8.6035274402601,9.826,9.788,9.108,0.744,0.686,0.318,0.878,0.962,0.506,0.992,0.962,0.658,0.49,0.34,0.102
80,9.506096478205313,9.449639062727591,8.559016215282846,9.822,9.762,8.942,0.746,0.6,0.418,0.878,0.956,0.508,0.992,0.956,0.666,0.496,0.338,0.128
81,9.483618910692062,9.540095337147035,8.601252023534222,9.806,9.722,8.688,0.738,0.684,0.478,0.878,0.958,0.532,0.992,0.934,0.634,0.492,0.348,0.14
82,9.485433253615014,9.433829816867153,8.601764209293126,9.826,9.708,8.594,0.752,0.616,0.494,0.878,0.96,0.532,0.992,0.932,0.614,0.492,0.37,0.192
83,9.478728950839942,9.532871836418916,8.684268643290757,9.828,9.748,8.284,0.772,0.644,0.47,0.878,0.956,0.566,0.992,0.952,0.586,0.5,0.344,0.196
84,9.509135403789148,9.582816576760377,8.56273875775848,9.816,9.774,8.272,0.746,0.636,0.47,0.878,0.966,0.512,0.992,0.962,0.578,0.496,0.348,0.172
85,9.431478593025496,9.475606954998009,8.714127834112663,9.83,9.776,8.016,0.772,0.616,0.496,0.878,0.964,0.556,0.992,0.956,0.536,0.498,0.36,0.16
86,9.462107419612032,9.548811662607578,8.684692551361438,9.832,9.804,7.916,0.758,0.618,0.408,0.878,0.968,0.558,0.992,0.968,0.522,0.508,0.35,0.138
87,9.480418821849364,9.451004642182767,8.725503570424246,9.856,9.674,8.146,0.768,0.61,0.442,0.878,0.97,0.57,0.992,0.918,0.602,0.508,0.332,0.176
88,9.437185501072548,9.54393380093729,8.626296633339841,9.822,9.726,8.518,0.746,0.612,0.402,0.878,0.97,0.546,0.992,0.936,0.628,0.51,0.322,0.162
89,9.52027245014154,9.444129566608405,8.600508712181442,9.828,9.766,8.656,0.74,0.648,0.372,0.878,0.966,0.552,0.992,0.942,0.608,0.504,0.336,0.128
90,9.472181487728946,9.563151529707326,8.783891881670892,9.786,9.788,8.812,0.738,0.634,0.312,0.878,0.97,0.572,0.992,0.962,0.612,0.504,0.314,0.126
91,9.444289607888026,9.55536435428342,8.660804463057609,9.83,9.756,8.91,0.76,0.578,0.292,0.878,0.972,0.564,0.992,0.964,0.63,0.51,0.32,0.078
92,9.459915812679068,9.455527208172327,8.673199940153197,9.824,9.794,9.158,0.77,0.522,0.286,0.878,0.974,0.58,0.992,0.964,0.662,0.51,0.316,0.05
93,9.549985100453537,9.504132931235675,8.707098185597303,9.888,9.708,9.138,0.828,0.556,0.4,0.878,0.968,0.564,0.992,0.936,0.704,0.502,0.332,0.126
94,9.394505022007694,9.499301709130432,8.678089796144434,9.826,9.758,9.204,0.768,0.598,0.434,0.878,0.98,0.548,0.992,0.95,0.644,0.502,0.332,0.152
95,9.41231795959401,9.477268255014128,8.786414218299235,9.822,9.8,9.282,0.756,0.61,0.44,0.878,0.968,0.588,0.992,0.972,0.698,0.502,0.346,0.136
96,9.434418386021921,9.621360777620193,8.766367404855208,9.842,9.794,9.254,0.78,0.618,0.45,0.878,0.97,0.55,0.992,0.984,0.688,0.506,0.354,0.176
97,9.526506575518052,9.47572632600009,8.67415925102187,9.81,9.796,9.356,0.738,0.616,0.482,0.878,0.978,0.572,0.992,0.986,0.708,0.506,0.378,0.158
98,9.463176233751982,9.556418793124392,8.839135540728652,9.818,9.746,9.376,0.76,0.574,0.488,0.878,0.974,0.568,0.992,0.956,0.718,0.512,0.362,0.164
99,9.477366570476585,9.537413815998674,8.806514365233484,9.824,9.766,9.354,0.762,0.616,0.52,0.878,0.968,0.622,0.992,0.97,0.712,0.518,0.358,0.188
