Step,Normal_Reward_Tau_0.1,Normal_Reward_Tau_1,Normal_Reward_Tau_5,Binomial_Reward_Tau_0.1,Binomial_Reward_Tau_1,Binomial_Reward_Tau_5,Bernoulli_Reward_Tau_0.1,Bernoulli_Reward_Tau_1,Bernoulli_Reward_Tau_5,Normal_Opt_Tau_0.1,Normal_Opt_Tau_1,Normal_Opt_Tau_5,Binomial_Opt_Tau_0.1,Binomial_Opt_Tau_1,Binomial_Opt_Tau_5,Bernoulli_Opt_Tau_0.1,Bernoulli_Opt_Tau_1,Bernoulli_Opt_Tau_5
34,5.5758879692748105,7.5775589485564945,6.934207441708197,5.828,7.142,6.156,0.816,0.614,0.564,0.09,0.156,0.17,0.112,0.218,0.134,0.284,0.148,0.138
35,5.48095683026996,7.632920649819403,6.803405911537696,5.682,7.318,6.442,0.832,0.616,0.512,0.09,0.156,0.184,0.112,0.22,0.156,0.284,0.15,0.124
36,5.53044283237287,7.579804441451569,6.897131103022094,5.616,7.39,6.502,0.786,0.63,0.528,0.09,0.156,0.152,0.112,0.22,0.208,0.286,0.158,0.126
37,5.587267124339623,7.716975428703201,6.906854680007467,5.78,7.306,6.432,0.866,0.618,0.498,0.09,0.16,0.18,0.112,0.218,0.162,0.286,0.156,0.094
38,5.5455690873697705,7.597780942587038,6.928959735050347,5.702,7.338,6.45,0.858,0.64,0.48,0.09,0.154,0.178,0.112,0.222,0.182,0.284,0.148,0.084
39,5.514235627495745,7.621813475397816,6.893859845480933,5.74,7.346,6.544,0.826,0.612,0.574,0.09,0.16,0.19,0.112,0.222,0.166,0.284,0.148,0.124
40,5.515259754030066,7.518686435376908,6.705923780695121,5.746,7.224,6.34,0.824,0.598,0.536,0.09,0.158,0.196,0.112,0.216,0.178,0.286,0.176,0.108
41,5.574148756957581,7.6141654024849545,6.987728323121321,5.744,7.352,6.484,0.838,0.58,0.526,0.09,0.156,0.192,0.112,0.222,0.184,0.288,0.14,0.112
42,5.507291292623103,7.6831349249305605,7.001322100153647,5.698,7.322,6.382,0.814,0.588,0.538,0.09,0.162,0.202,0.112,0.218,0.168,0.286,0.168,0.106
43,5.510446676715638,7.523442136064277,6.852118538376682,5.688,7.302,6.432,0.858,0.608,0.492,0.09,0.158,0.226,0.112,0.222,0.206,0.284,0.136,0.088
44,5.525115727369494,7.671254372565023,7.142123566544049,5.682,7.386,6.424,0.818,0.588,0.574,0.09,0.166,0.18,0.112,0.226,0.184,0.286,0.154,0.138
45,5.602279779495415,7.608651542113833,6.934560794987875,5.562,7.368,6.272,0.856,0.6,0.56,0.09,0.162,0.206,0.112,0.226,0.158,0.292,0.146,0.122
46,5.689706726089491,7.6213617201030575,7.01045857120556,5.728,7.454,6.456,0.832,0.638,0.538,0.09,0.16,0.218,0.112,0.226,0.152,0.286,0.168,0.118
47,5.57201831815888,7.649154464427613,6.892139168720569,5.796,7.412,6.534,0.814,0.634,0.55,0.09,0.158,0.178,0.112,0.226,0.188,0.29,0.164,0.132
48,5.517485530776063,7.680127054878763,6.5350497863793615,5.704,7.492,6.692,0.83,0.598,0.556,0.09,0.166,0.158,0.112,0.226,0.218,0.292,0.136,0.14
49,5.476544114989781,7.685542012306237,6.945628218845818,5.758,7.448,6.548,0.848,0.6,0.49,0.09,0.17,0.186,0.112,0.226,0.18,0.292,0.166,0.114
50,5.553749544340234,7.664994728369287,6.954639467715376,5.74,7.384,6.39,0.84,0.612,0.516,0.09,0.166,0.2,0.112,0.232,0.172,0.292,0.134,0.11
51,5.522996100279729,7.613198298698406,6.925761734894619,5.61,7.482,6.448,0.86,0.614,0.496,0.09,0.172,0.196,0.112,0.234,0.186,0.294,0.128,0.1
52,5.5908650407925995,7.711384121364927,7.055676605611667,5.674,7.45,6.458,0.824,0.592,0.518,0.09,0.172,0.21,0.112,0.232,0.16,0.294,0.17,0.098
53,5.547846243698591,7.718123096749558,6.846165176678934,5.728,7.534,6.4,0.854,0.618,0.544,0.09,0.17,0.186,0.112,0.228,0.17,0.3,0.148,0.134
54,5.504446433069834,7.768985111141858,7.009374517585771,5.682,7.488,6.418,0.866,0.612,0.572,0.09,0.174,0.204,0.112,0.232,0.164,0.298,0.152,0.122
55,5.485940110368449,7.688364600734819,6.959537916780482,5.694,7.446,6.606,0.862,0.614,0.578,0.09,0.174,0.208,0.112,0.232,0.202,0.298,0.176,0.106
56,5.482629651100598,7.719352055338891,6.896970688150584,5.784,7.564,6.364,0.854,0.604,0.526,0.09,0.176,0.152,0.112,0.234,0.196,0.296,0.184,0.104
57,5.5699312492865305,7.722619238949151,6.6823106075008925,5.802,7.538,6.404,0.85,0.596,0.516,0.09,0.174,0.174,0.112,0.234,0.16,0.3,0.146,0.124
58,5.517681416716528,7.719472898191333,7.0000809367977626,5.856,7.468,6.616,0.864,0.584,0.52,0.09,0.176,0.204,0.112,0.234,0.208,0.298,0.142,0.104
59,5.5590460512349145,7.791769407557618,6.972823771044609,5.718,7.41,6.494,0.866,0.602,0.518,0.09,0.178,0.214,0.112,0.236,0.186,0.296,0.14,0.092
60,5.62148372662421,7.738554895580045,7.080803802372553,5.724,7.498,6.776,0.862,0.588,0.538,0.09,0.172,0.202,0.112,0.232,0.21,0.292,0.16,0.14
61,5.566971225310994,7.7999135691843255,6.60260352755475,5.712,7.582,6.402,0.858,0.62,0.502,0.09,0.178,0.18,0.112,0.234,0.188,0.298,0.136,0.12
62,5.530016272830916,7.7614648760566,6.709206888980428,5.718,7.646,6.372,0.85,0.602,0.512,0.09,0.18,0.164,0.112,0.236,0.19,0.296,0.166,0.122
63,5.534601138769256,7.808917843955411,6.982814685384677,5.81,7.618,6.604,0.862,0.562,0.544,0.09,0.178,0.186,0.112,0.238,0.18,0.3,0.134,0.122
64,5.498767536780841,7.85085004101702,6.85668739289445,5.792,7.624,6.362,0.846,0.646,0.532,0.09,0.18,0.174,0.112,0.238,0.202,0.296,0.176,0.12
65,5.57315862969459,7.824440905038429,7.00749183699481,5.812,7.544,6.608,0.87,0.622,0.502,0.09,0.184,0.218,0.112,0.242,0.174,0.3,0.158,0.102
66,5.599035303229392,7.76407185942936,6.9574395777056255,5.784,7.552,6.444,0.852,0.628,0.546,0.09,0.18,0.198,0.112,0.242,0.19,0.3,0.142,0.1
67,5.604711006020584,7.779910345470713,7.1095862931072835,5.606,7.522,6.558,0.86,0.65,0.532,0.09,0.186,0.192,0.112,0.242,0.144,0.298,0.168,0.13
68,5.5961380404383725,7.836656479795714,7.016183609269162,5.69,7.512,6.558,0.856,0.624,0.548,0.09,0.19,0.176,0.112,0.24,0.16,0.3,0.15,0.12
69,5.545109523923833,7.779981111460601,6.725944063474168,5.826,7.57,6.372,0.822,0.596,0.55,0.09,0.188,0.142,0.112,0.246,0.188,0.296,0.164,0.096
70,5.533333566567127,7.768906088880853,7.058014105282159,5.642,7.634,6.39,0.852,0.584,0.498,0.09,0.188,0.202,0.112,0.24,0.176,0.3,0.172,0.114
71,5.562315543126334,7.907442186423977,6.778052746362111,5.852,7.598,6.426,0.864,0.62,0.54,0.09,0.194,0.19,0.112,0.244,0.19,0.296,0.144,0.108
72,5.48637447321643,7.79051014761394,6.970104869305926,5.65,7.71,6.488,0.846,0.624,0.516,0.09,0.188,0.194,0.112,0.25,0.172,0.3,0.146,0.126
73,5.593364886585333,7.782772640530217,6.941519294794185,5.82,7.644,6.458,0.882,0.596,0.53,0.09,0.19,0.194,0.112,0.25,0.17,0.3,0.14,0.12
74,5.484634121469644,7.8604851576863375,7.100783955874223,5.778,7.636,6.412,0.85,0.588,0.498,0.09,0.192,0.17,0.112,0.248,0.2,0.302,0.152,0.092
75,5.6064389297610155,7.777418629391663,6.775599812127704,5.874,7.542,6.572,0.876,0.586,0.502,0.09,0.192,0.162,0.112,0.246,0.198,0.3,0.124,0.106
76,5.529399012831711,7.8935633186711245,6.881788222932146,5.762,7.666,6.604,0.874,0.596,0.516,0.09,0.196,0.164,0.112,0.252,0.184,0.304,0.158,0.13
77,5.5470092412938,7.786729425570275,6.991454108712823,5.802,7.75,6.416,0.866,0.614,0.504,0.09,0.194,0.214,0.112,0.25,0.18,0.306,0.15,0.092
78,5.477346211793359,7.904129277866269,6.949841709445323,5.886,7.708,6.574,0.89,0.602,0.514,0.09,0.198,0.224,0.112,0.25,0.184,0.308,0.152,0.132
79,5.54138984815199,7.900072669195017,6.993034400368649,5.746,7.48,6.472,0.878,0.592,0.516,0.09,0.194,0.182,0.112,0.252,0.156,0.306,0.152,0.116
80,5.487959509989283,7.8194791674192965,6.914978786630522,5.778,7.516,6.62,0.858,0.55,0.506,0.09,0.192,0.198,0.112,0.252,0.178,0.304,0.158,0.114
81,5.567297578703454,7.881011953322027,6.9845337981996805,5.708,7.656,6.464,0.866,0.63,0.504,0.09,0.192,0.16,0.112,0.248,0.17,0.304,0.162,0.114
82,5.53780130899602,7.850720795346253,6.834702563820456,5.942,7.838,6.51,0.854,0.638,0.52,0.09,0.194,0.182,0.112,0.25,0.22,0.304,0.156,0.102
83,5.476959856832016,7.820486685520414,7.030660336575034,5.778,7.634,6.462,0.878,0.618,0.504,0.09,0.2,0.17,0.112,0.252,0.164,0.304,0.18,0.098
84,5.517572375380841,7.899787482482611,6.8411323878315455,5.694,7.636,6.624,0.844,0.606,0.506,0.09,0.198,0.184,0.112,0.248,0.202,0.304,0.162,0.112
85,5.480047428799146,7.840125056616498,6.851537859048127,5.816,7.596,6.428,0.852,0.586,0.52,0.09,0.196,0.178,0.112,0.252,0.162,0.306,0.13,0.11
86,5.611415011972014,7.725724220513855,7.09315145652369,5.756,7.812,6.444,0.876,0.608,0.54,0.09,0.19,0.226,0.112,0.252,0.186,0.308,0.16,0.11
87,5.521344151728088,7.9023418561559176,6.8958188640176825,5.768,7.718,6.572,0.852,0.606,0.534,0.09,0.194,0.18,0.112,0.254,0.156,0.306,0.142,0.106
88,5.488496890416813,7.940078295207598,6.890462598995712,5.688,7.738,6.264,0.864,0.592,0.486,0.09,0.198,0.182,0.112,0.254,0.182,0.308,0.16,0.104
89,5.460539588639788,7.941014949953593,7.004718621591017,5.826,7.626,6.376,0.882,0.578,0.554,0.09,0.198,0.182,0.112,0.252,0.184,0.31,0.154,0.128
90,5.5596767729982615,7.910311625786879,6.980903271498747,5.744,7.646,6.554,0.876,0.594,0.542,0.09,0.202,0.164,0.112,0.246,0.186,0.308,0.184,0.114
91,5.5725484948260755,7.877249646338892,6.8466727862235635,5.818,7.632,6.476,0.848,0.582,0.55,0.09,0.202,0.192,0.112,0.256,0.206,0.304,0.174,0.102
92,5.477174240578312,7.86467298183713,6.978716483799273,5.762,7.708,6.438,0.866,0.624,0.566,0.09,0.202,0.18,0.112,0.254,0.15,0.306,0.172,0.112
93,5.541359215636434,7.962528654045653,6.6927498001776735,5.672,7.702,6.63,0.858,0.598,0.522,0.09,0.204,0.178,0.112,0.254,0.188,0.308,0.15,0.114
