Step,Normal_Reward_Tau_0.1,Normal_Reward_Tau_1,Normal_Reward_Tau_5,Binomial_Reward_Tau_0.1,Binomial_Reward_Tau_1,Binomial_Reward_Tau_5,Bernoulli_Reward_Tau_0.1,Bernoulli_Reward_Tau_1,Bernoulli_Reward_Tau_5,Normal_Opt_Tau_0.1,Normal_Opt_Tau_1,Normal_Opt_Tau_5,Binomial_Opt_Tau_0.1,Binomial_Opt_Tau_1,Binomial_Opt_Tau_5,Bernoulli_Opt_Tau_0.1,Bernoulli_Opt_Tau_1,Bernoulli_Opt_Tau_5
392,5.497139430829714,8.29936082639277,7.046985287868539,5.814,8.154,6.46,0.914,0.576,0.486,0.09,0.288,0.192,0.112,0.334,0.172,0.362,0.146,0.098
393,5.561586844960015,8.3647380537108,6.90594626161747,5.812,8.122,6.476,0.904,0.584,0.504,0.09,0.292,0.186,0.112,0.334,0.196,0.368,0.16,0.116
394,5.577275911176455,8.335134959747675,6.955327225446185,5.832,8.146,6.396,0.904,0.634,0.534,0.09,0.296,0.208,0.112,0.334,0.186,0.352,0.152,0.118
395,5.53618964359733,8.290286168380819,7.039491493888795,5.828,8.142,6.574,0.9,0.624,0.55,0.09,0.294,0.174,0.112,0.334,0.168,0.372,0.144,0.12
396,5.583972014024885,8.255417717588593,6.96713378285657,5.828,8.264,6.362,0.918,0.604,0.54,0.09,0.274,0.206,0.112,0.342,0.154,0.366,0.174,0.116
397,5.502037541135014,8.271443731599753,6.8929528053425555,5.86,8.178,6.162,0.91,0.652,0.55,0.09,0.296,0.16,0.112,0.346,0.146,0.364,0.166,0.11
398,5.484959472447771,8.397379837954917,7.0878554196577515,5.706,8.166,6.43,0.916,0.58,0.522,0.09,0.298,0.204,0.112,0.34,0.168,0.37,0.156,0.11
399,5.544701491183794,8.304171766815738,6.997317835137333,5.84,8.198,6.622,0.904,0.63,0.508,0.09,0.286,0.18,0.112,0.34,0.182,0.366,0.182,0.112
400,5.54794207546514,8.270364100581359,6.837566307572985,5.79,8.308,6.444,0.902,0.602,0.536,0.09,0.282,0.21,0.112,0.338,0.18,0.37,0.162,0.134
401,5.560204470224294,8.23247690165716,6.992723884747207,5.782,8.274,6.1,0.904,0.622,0.498,0.09,0.292,0.18,0.112,0.346,0.16,0.36,0.17,0.098
402,5.4795896210926065,8.22366643928461,6.88707927704417,5.806,8.146,6.402,0.894,0.576,0.524,0.09,0.3,0.18,0.112,0.33,0.182,0.366,0.158,0.12
403,5.513822397848156,8.296586760229017,6.943134942653265,5.728,8.228,6.654,0.908,0.62,0.516,0.09,0.292,0.194,0.112,0.34,0.194,0.362,0.186,0.118
404,5.544356033502703,8.323842284854493,7.333494151365034,5.8,8.184,6.57,0.908,0.578,0.538,0.09,0.294,0.218,0.112,0.336,0.17,0.366,0.138,0.144
405,5.553532776657495,8.323414249415313,6.99830245445851,5.922,8.146,6.436,0.91,0.59,0.532,0.09,0.296,0.184,0.112,0.344,0.162,0.366,0.14,0.126
406,5.530236095932816,8.347261546471985,7.046039257916419,5.762,8.2,6.698,0.928,0.628,0.484,0.09,0.296,0.196,0.112,0.326,0.21,0.366,0.18,0.118
407,5.570993512041241,8.405932273096756,6.883074273091552,5.83,8.15,6.548,0.894,0.576,0.53,0.09,0.294,0.188,0.112,0.35,0.162,0.378,0.126,0.118
408,5.552882497526004,8.39433156051913,6.90651072417053,5.912,8.184,6.576,0.904,0.592,0.528,0.09,0.296,0.2,0.112,0.336,0.172,0.368,0.14,0.096
409,5.623180909453134,8.269670146542675,7.0215384506530585,5.826,8.202,6.514,0.912,0.606,0.578,0.09,0.288,0.198,0.112,0.346,0.166,0.368,0.168,0.124
410,5.456086615498942,8.339922439226946,6.767441499578066,5.792,8.21,6.466,0.916,0.59,0.52,0.09,0.292,0.18,0.112,0.342,0.202,0.37,0.188,0.102
411,5.578968143340746,8.346830176076024,6.9901344935481315,5.754,8.268,6.51,0.914,0.624,0.518,0.09,0.298,0.182,0.112,0.34,0.186,0.362,0.16,0.104
412,5.577672812036541,8.366200808149953,6.913628880016374,5.89,8.154,6.518,0.888,0.63,0.516,0.09,0.288,0.188,0.112,0.314,0.168,0.362,0.14,0.126
413,5.571382831597636,8.348537378459772,7.029385663190975,5.756,8.096,6.564,0.896,0.586,0.544,0.09,0.292,0.204,0.112,0.35,0.176,0.362,0.132,0.112
414,5.4876774185164106,8.41409325335615,7.109664809765158,5.822,8.248,6.406,0.93,0.584,0.512,0.09,0.288,0.194,0.112,0.326,0.168,0.37,0.164,0.116
415,5.572341151462796,8.306355769301664,6.985172798141838,5.788,8.12,6.328,0.918,0.58,0.522,0.09,0.294,0.212,0.112,0.328,0.178,0.368,0.182,0.112
416,5.535518700580826,8.337948254056458,6.977608783942239,5.67,8.188,6.226,0.914,0.638,0.548,0.09,0.302,0.172,0.112,0.336,0.158,0.37,0.15,0.108
417,5.548401326386186,8.296569515784544,7.168827205068073,5.612,8.054,6.46,0.894,0.644,0.494,0.09,0.292,0.19,0.112,0.336,0.172,0.368,0.14,0.108
418,5.631811350577942,8.207899080946705,6.748470518796014,5.806,8.228,6.576,0.9,0.61,0.514,0.09,0.28,0.178,0.112,0.338,0.156,0.362,0.154,0.122
419,5.521403060272311,8.397903259836601,7.16656037832109,5.714,8.214,6.494,0.914,0.622,0.492,0.09,0.292,0.208,0.112,0.336,0.172,0.364,0.14,0.11
420,5.588271778767611,8.327622648134033,6.95705486075861,5.866,8.18,6.266,0.912,0.614,0.512,0.09,0.296,0.208,0.112,0.334,0.162,0.358,0.15,0.086
421,5.545135945095063,8.344298767768594,6.789350660149825,5.81,8.19,6.586,0.914,0.618,0.542,0.09,0.298,0.18,0.112,0.334,0.15,0.364,0.168,0.128
422,5.551694043544317,8.364109690355939,6.781294100480156,5.838,8.254,6.44,0.914,0.608,0.51,0.09,0.306,0.182,0.112,0.34,0.19,0.368,0.154,0.122
423,5.548932050862724,8.327697555181679,6.822685007831526,5.864,8.214,6.632,0.924,0.59,0.564,0.09,0.294,0.192,0.112,0.348,0.176,0.366,0.132,0.124
424,5.584365792977692,8.349193366035905,6.830194050308547,5.842,8.132,6.652,0.902,0.602,0.52,0.09,0.3,0.196,0.112,0.342,0.168,0.37,0.166,0.116
425,5.587751805546847,8.325756465865771,6.836641912937454,5.77,8.204,6.448,0.902,0.622,0.506,0.09,0.294,0.184,0.112,0.332,0.158,0.366,0.168,0.116
426,5.517312794839551,8.39019928540949,6.935668455996728,5.922,8.168,6.542,0.916,0.596,0.544,0.09,0.284,0.176,0.112,0.358,0.194,0.368,0.15,0.082
427,5.575307552216956,8.240738884752025,6.908927639610053,5.848,8.232,6.57,0.916,0.604,0.51,0.09,0.296,0.22,0.112,0.344,0.204,0.36,0.12,0.122
428,5.577513318128391,8.271347591366101,7.171799161017334,5.864,8.086,6.334,0.888,0.594,0.54,0.09,0.296,0.202,0.112,0.344,0.156,0.364,0.154,0.134
429,5.585822497437033,8.343983236951871,6.9654485874375345,5.67,8.178,6.546,0.902,0.588,0.52,0.09,0.29,0.188,0.112,0.354,0.194,0.368,0.132,0.118
430,5.592019641655535,8.363499330661837,7.03533266804732,5.854,8.1,6.342,0.92,0.656,0.504,0.09,0.31,0.218,0.112,0.336,0.17,0.364,0.19,0.106
431,5.556135545330937,8.41101343628874,6.884339252534267,5.822,8.174,6.386,0.912,0.612,0.46,0.09,0.31,0.212,0.112,0.346,0.186,0.37,0.154,0.096
432,5.5600909807281935,8.419548877994183,7.001810255840425,5.758,8.004,6.39,0.89,0.63,0.53,0.09,0.29,0.178,0.112,0.336,0.19,0.37,0.144,0.106
433,5.600523894692715,8.37158916714636,6.941414892481778,5.728,8.15,6.37,0.91,0.612,0.532,0.09,0.304,0.214,0.112,0.344,0.184,0.366,0.158,0.13
434,5.632802575645287,8.347536597590572,6.9169711334132336,5.804,8.164,6.55,0.902,0.632,0.524,0.09,0.306,0.172,0.112,0.36,0.174,0.37,0.178,0.116
435,5.565120575638073,8.352779154543917,7.113751831270294,5.768,8.292,6.512,0.89,0.622,0.482,0.09,0.29,0.206,0.112,0.348,0.194,0.362,0.15,0.112
436,5.58244069823843,8.439571203329308,6.983632742298973,5.766,8.14,6.4,0.902,0.61,0.54,0.09,0.3,0.186,0.112,0.346,0.192,0.368,0.17,0.136
437,5.518497131652868,8.35822160524162,7.065665255708176,5.748,8.25,6.598,0.894,0.604,0.52,0.09,0.302,0.166,0.112,0.352,0.188,0.368,0.18,0.12
438,5.599876769639773,8.29155857350323,7.018399490316748,5.89,8.172,6.392,0.926,0.61,0.506,0.09,0.298,0.212,0.112,0.346,0.194,0.374,0.126,0.11
439,5.571746718131177,8.437687273745926,7.055074145355637,5.732,8.132,6.588,0.91,0.614,0.526,0.09,0.31,0.198,0.112,0.356,0.166,0.376,0.164,0.146
440,5.59210084446568,8.409335801815551,6.89602276312375,5.77,8.268,6.71,0.908,0.598,0.502,0.09,0.308,0.16,0.112,0.342,0.242,0.372,0.132,0.112
441,5.514742751196863,8.309971909916294,6.991523400117167,5.73,8.212,6.596,0.932,0.626,0.54,0.09,0.29,0.19,0.112,0.342,0.204,0.37,0.156,0.1
442,5.616271592533528,8.315578878069788,6.980790402378908,5.82,8.146,6.402,0.922,0.616,0.526,0.09,0.298,0.184,0.112,0.352,0.182,0.374,0.152,0.09
443,5.47231147129467,8.379632083424637,6.804666455512338,5.664,8.11,6.36,0.91,0.646,0.546,0.09,0.3,0.178,0.112,0.354,0.164,0.364,0.16,0.122
444,5.512911261878524,8.35185707940762,6.919919424787432,5.814,8.216,6.48,0.92,0.632,0.502,0.09,0.3,0.194,0.112,0.358,0.176,0.37,0.146,0.128
445,5.5251565859426055,8.341873438404942,6.967925936849212,5.728,8.178,6.476,0.912,0.596,0.57,0.09,0.304,0.17,0.112,0.36,0.15,0.372,0.16,0.138
446,5.543819145620058,8.29600695482732,6.81780178165869,5.798,8.252,6.306,0.918,0.614,0.49,0.09,0.298,0.194,0.112,0.346,0.172,0.374,0.164,0.124
447,5.575550932294127,8.332784457657322,7.02974303577257,5.842,8.236,6.366,0.928,0.608,0.524,0.09,0.302,0.18,0.112,0.358,0.196,0.368,0.154,0.106
448,5.558362997637972,8.268721374120863,6.911017091087211,5.792,8.27,6.44,0.922,0.58,0.524,0.09,0.298,0.208,0.112,0.35,0.19,0.374,0.124,0.124
449,5.507833219850374,8.353147879580634,6.754140479054288,5.814,8.144,6.436,0.898,0.604,0.518,0.09,0.298,0.184,0.112,0.34,0.192,0.366,0.146,0.114
450,5.603755991161491,8.36790032227701,7.10742351111387,5.854,8.18,6.37,0.912,0.584,0.52,0.09,0.298,0.184,0.112,0.356,0.196,0.374,0.13,0.1
451,5.4782998763893165,8.303671590568303,6.978246143033577,5.882,8.188,6.566,0.924,0.604,0.514,0.09,0.306,0.192,0.112,0.352,0.168,0.366,0.174,0.098
452,5.56208495445292,8.292377087501684,7.161017920925389,5.894,8.154,6.536,0.924,0.578,0.53,0.09,0.298,0.2,0.112,0.344,0.172,0.376,0.138,0.094
453,5.66306265036067,8.329836170735126,6.821053292274947,5.74,8.176,6.55,0.918,0.598,0.498,0.09,0.3,0.186,0.112,0.332,0.176,0.372,0.134,0.114
454,5.607416403345583,8.275924804291876,6.724987001023961,5.682,8.214,6.516,0.916,0.632,0.564,0.09,0.298,0.176,0.112,0.34,0.166,0.368,0.16,0.098
455,5.519199886672493,8.46561300999029,6.865615973023566,5.9,8.232,6.406,0.918,0.598,0.506,0.09,0.298,0.172,0.112,0.36,0.188,0.37,0.18,0.09
456,5.56994079666029,8.367314577103857,6.826275337095023,5.81,8.11,6.382,0.93,0.636,0.524,0.09,0.302,0.172,0.112,0.354,0.186,0.366,0.174,0.082
457,5.516020223755554,8.324910266625677,6.887584343858753,5.87,8.222,6.498,0.92,0.636,0.51,0.09,0.302,0.15,0.112,0.358,0.174,0.366,0.158,0.118
458,5.575674068109455,8.337011332827418,7.122081802723784,5.724,8.2,6.286,0.898,0.622,0.51,0.09,0.308,0.19,0.112,0.346,0.174,0.368,0.168,0.124
459,5.565807840190205,8.31422169739536,6.8739295597834476,5.786,8.21,6.646,0.914,0.606,0.504,0.09,0.308,0.194,0.112,0.35,0.198,0.37,0.146,0.12
460,5.512357055595809,8.342222755066594,6.976990514928703,5.882,8.282,6.628,0.928,0.58,0.538,0.09,0.292,0.214,0.112,0.356,0.222,0.362,0.138,0.11
461,5.564523478704121,8.485769514099431,6.963791028566728,5.746,8.224,6.278,0.93,0.612,0.518,0.09,0.314,0.168,0.112,0.352,0.19,0.374,0.156,0.12
462,5.486328619406121,8.360663117934218,6.776175403143577,5.792,8.156,6.372,0.904,0.614,0.502,0.09,0.308,0.17,0.112,0.346,0.178,0.366,0.144,0.096
463,5.488200081174628,8.389583507835,7.0230020308561585,5.878,8.144,6.358,0.922,0.648,0.53,0.09,0.304,0.194,0.112,0.332,0.174,0.376,0.19,0.108
464,5.609191688645192,8.32096591823656,7.125481868209577,5.796,8.182,6.716,0.92,0.592,0.536,0.09,0.298,0.196,0.112,0.358,0.174,0.362,0.14,0.136
465,5.545472893646733,8.414644704053385,6.955117328238857,5.844,8.244,6.454,0.902,0.634,0.524,0.09,0.314,0.178,0.112,0.344,0.194,0.366,0.148,0.114
466,5.5666625960436775,8.395132469790017,7.063038199412143,5.786,8.2,6.488,0.92,0.598,0.54,0.09,0.29,0.17,0.112,0.36,0.16,0.378,0.166,0.096
467,5.59613466979939,8.320577483144909,6.767654079485023,5.712,8.134,6.568,0.936,0.564,0.522,0.09,0.298,0.18,0.112,0.358,0.17,0.37,0.156,0.11
468,5.550651453291942,8.35018488895282,6.851769284158306,5.816,8.176,6.512,0.924,0.592,0.558,0.09,0.298,0.174,0.112,0.36,0.188,0.366,0.152,0.124
469,5.569132962294391,8.365560390305303,7.031182035971131,5.84,8.256,6.3,0.922,0.64,0.502,0.09,0.306,0.212,0.112,0.35,0.158,0.364,0.156,0.112
470,5.597278772242101,8.411477144216205,6.767417850765785,5.858,8.262,6.472,0.906,0.59,0.54,0.09,0.32,0.178,0.112,0.344,0.186,0.366,0.158,0.086
471,5.596678649473168,8.332702056448728,7.127372337571523,5.742,8.252,6.662,0.91,0.614,0.532,0.09,0.298,0.196,0.112,0.344,0.176,0.36,0.136,0.13
472,5.683271113901392,8.371301354565722,6.82424199839836,5.802,8.206,6.51,0.926,0.612,0.538,0.09,0.3,0.19,0.112,0.342,0.186,0.368,0.158,0.11
473,5.517683588695861,8.446095592867776,6.981483729602169,5.832,8.276,6.646,0.896,0.6,0.53,0.09,0.304,0.198,0.112,0.342,0.174,0.366,0.146,0.11
474,5.511468611159062,8.381370547047332,7.258521232658989,5.862,8.138,6.364,0.918,0.584,0.58,0.09,0.302,0.24,0.112,0.36,0.166,0.366,0.146,0.13
475,5.641846926654766,8.354130983234652,7.226143023593745,5.974,8.166,6.628,0.906,0.574,0.552,0.09,0.304,0.222,0.112,0.354,0.202,0.374,0.13,0.12
476,5.573951936864528,8.395824744536329,6.824326511877038,5.81,8.22,6.38,0.928,0.602,0.51,0.09,0.312,0.188,0.112,0.35,0.186,0.364,0.146,0.096
477,5.62113009266204,8.378722727148245,6.858967059543494,5.802,8.282,6.52,0.898,0.616,0.516,0.09,0.308,0.174,0.112,0.358,0.208,0.378,0.174,0.1
478,5.574058494554192,8.46187036987034,6.909543006597718,5.88,8.244,6.578,0.922,0.592,0.51,0.09,0.314,0.186,0.112,0.35,0.176,0.368,0.134,0.11
479,5.602541189980433,8.463554426435252,6.954015134941105,5.728,8.14,6.362,0.902,0.638,0.55,0.09,0.314,0.162,0.112,0.36,0.152,0.374,0.148,0.106
480,5.53083612388969,8.405560969148365,7.087766620608318,5.792,8.134,6.388,0.932,0.582,0.524,0.09,0.312,0.204,0.112,0.35,0.162,0.364,0.132,0.102
481,5.586861337755077,8.41371557269674,6.959409484736336,5.88,8.24,6.338,0.89,0.61,0.52,0.09,0.306,0.196,0.112,0.36,0.154,0.366,0.14,0.13
482,5.5405530627815756,8.29361603903832,7.12372951436448,5.784,8.284,6.326,0.898,0.594,0.552,0.09,0.308,0.19,0.112,0.358,0.162,0.354,0.132,0.108
483,5.640314528340902,8.360677039047673,6.92368580911632,5.806,8.15,6.622,0.912,0.594,0.526,0.09,0.304,0.208,0.112,0.374,0.18,0.374,0.15,0.11
484,5.566701562358434,8.30402604125987,7.077241272268707,5.818,8.362,6.44,0.936,0.604,0.544,0.09,0.304,0.176,0.112,0.364,0.184,0.358,0.14,0.088
485,5.518569999318938,8.399573479208367,6.986490800824389,5.778,8.192,6.356,0.922,0.58,0.524,0.09,0.304,0.182,0.112,0.348,0.178,0.376,0.146,0.114
486,5.617779296708421,8.445040756021447,7.047948614469959,5.732,8.18,6.592,0.91,0.616,0.5,0.09,0.31,0.16,0.112,0.36,0.194,0.37,0.16,0.1
487,5.561751567498323,8.363588005029928,6.8505424522263025,5.67,8.294,6.556,0.936,0.584,0.504,0.09,0.322,0.164,0.112,0.364,0.2,0.366,0.128,0.09
488,5.6216898729833265,8.407628332004274,7.002265267305625,5.888,8.334,6.416,0.926,0.62,0.532,0.09,0.314,0.204,0.112,0.36,0.154,0.366,0.144,0.098
489,5.523705516343542,8.215087812513676,7.09197223445069,5.828,8.176,6.366,0.908,0.588,0.544,0.09,0.302,0.196,0.112,0.35,0.178,0.37,0.142,0.11
490,5.558998024415319,8.274759093719071,6.873605991915357,5.838,8.226,6.696,0.94,0.618,0.532,0.09,0.296,0.176,0.112,0.346,0.196,0.372,0.176,0.118
491,5.519743845270098,8.336008055505054,6.976317807910124,5.848,8.208,6.426,0.92,0.616,0.482,0.09,0.314,0.188,0.112,0.36,0.208,0.366,0.142,0.09
492,5.561422707261247,8.491394021613106,6.797528539395961,5.824,8.29,6.34,0.924,0.568,0.552,0.09,0.322,0.166,0.112,0.376,0.172,0.374,0.148,0.116
493,5.630053766698965,8.369452655607349,6.823664795644272,5.704,8.28,6.426,0.918,0.63,0.532,0.09,0.316,0.198,0.112,0.358,0.136,0.368,0.19,0.146
494,5.507894632302813,8.375403737712999,7.067610907227146,5.882,8.108,6.418,0.894,0.63,0.534,0.09,0.312,0.18,0.112,0.34,0.172,0.37,0.18,0.108
495,5.5121003629584795,8.391108395345253,6.824929809126857,5.85,8.114,6.462,0.932,0.614,0.496,0.09,0.308,0.17,0.112,0.342,0.19,0.368,0.138,0.104
496,5.487535186195542,8.396892232539756,7.11399262240292,5.742,8.208,6.51,0.908,0.622,0.504,0.09,0.31,0.21,0.112,0.354,0.202,0.356,0.18,0.096
497,5.577036003694033,8.396040682882564,6.747259653746436,5.912,8.146,6.53,0.906,0.606,0.538,0.09,0.314,0.16,0.112,0.366,0.182,0.368,0.136,0.126
498,5.629068495984288,8.36870329650007,7.110246596247138,5.724,8.182,6.454,0.912,0.628,0.512,0.09,0.314,0.196,0.112,0.356,0.182,0.366,0.15,0.118
499,5.515769599130286,8.401321349703903,7.183927536921468,5.806,8.154,6.31,0.926,0.602,0.51,0.09,0.312,0.204,0.112,0.354,0.206,0.374,0.15,0.112
500,5.547037618978388,8.421758752197148,6.90908692778007,5.78,8.222,6.462,0.918,0.608,0.512,0.09,0.318,0.166,0.112,0.366,0.184,0.378,0.166,0.114
501,5.5425841440883765,8.360608937110728,6.957001551227738,5.816,8.212,6.456,0.908,0.58,0.526,0.09,0.318,0.194,0.112,0.376,0.178,0.37,0.13,0.104
502,5.625434433541752,8.361420300538418,7.23851616746665,5.848,8.216,6.534,0.896,0.62,0.514,0.09,0.306,0.222,0.112,0.358,0.174,0.368,0.176,0.11
503,5.636598034418504,8.392914783404063,6.997890698339423,5.834,8.266,6.29,0.904,0.596,0.514,0.09,0.308,0.206,0.112,0.342,0.176,0.36,0.14,0.12
504,5.536594163225013,8.368203613173725,6.996676451394094,5.702,8.258,6.252,0.922,0.576,0.51,0.09,0.306,0.206,0.112,0.366,0.18,0.368,0.14,0.094
505,5.632568846569417,8.342667738365037,6.75135472143799,5.834,8.248,6.38,0.924,0.598,0.488,0.09,0.318,0.188,0.112,0.36,0.198,0.378,0.15,0.122
506,5.632247942332073,8.314202148278694,6.940931981064725,5.81,8.196,6.432,0.914,0.604,0.488,0.09,0.298,0.2,0.112,0.376,0.194,0.376,0.162,0.104
507,5.609639266089099,8.364667013770278,7.043890459974719,5.74,8.282,6.49,0.92,0.65,0.53,0.09,0.316,0.208,0.112,0.362,0.202,0.374,0.174,0.1
508,5.58622649368897,8.319432875453911,7.157161733393514,5.79,8.342,6.648,0.898,0.592,0.52,0.09,0.312,0.2,0.112,0.356,0.17,0.358,0.142,0.108
509,5.661125469861542,8.364734156027907,6.9769174142413615,5.894,8.218,6.528,0.91,0.636,0.538,0.09,0.316,0.188,0.112,0.36,0.206,0.372,0.146,0.106
510,5.469332875832314,8.433699693119143,7.215456542289366,5.828,8.266,6.478,0.916,0.632,0.578,0.09,0.328,0.208,0.112,0.372,0.168,0.368,0.19,0.156
511,5.594368065441187,8.24424104568902,6.992366825672948,5.778,8.214,6.388,0.91,0.602,0.552,0.09,0.324,0.182,0.112,0.36,0.19,0.372,0.154,0.112
512,5.532631838413439,8.474993502188356,6.972485476557594,5.83,8.34,6.604,0.886,0.618,0.566,0.09,0.33,0.21,0.112,0.368,0.2,0.364,0.174,0.106
513,5.573535444083334,8.466784697023614,6.954148078142012,5.71,8.19,6.336,0.914,0.616,0.506,0.09,0.328,0.216,0.112,0.36,0.172,0.38,0.146,0.092
514,5.57370681157117,8.44535733163768,6.925554082340929,5.806,8.232,6.494,0.914,0.63,0.538,0.09,0.308,0.192,0.112,0.358,0.176,0.372,0.146,0.108
515,5.556433466620208,8.343351862625768,7.069051878512377,5.81,8.124,6.414,0.9,0.654,0.54,0.09,0.316,0.224,0.112,0.356,0.21,0.354,0.164,0.104
516,5.685475833638237,8.502107388326941,6.932657099221341,5.834,8.214,6.506,0.912,0.598,0.53,0.09,0.328,0.2,0.112,0.358,0.178,0.37,0.15,0.082
517,5.61150484681895,8.431542946103404,7.179004645829907,5.798,8.26,6.404,0.922,0.636,0.536,0.09,0.324,0.212,0.112,0.356,0.176,0.37,0.162,0.106
518,5.545004953149093,8.446059390730692,7.114054276184586,5.77,8.2,6.29,0.92,0.606,0.534,0.09,0.322,0.182,0.112,0.36,0.158,0.364,0.144,0.1
519,5.568377643998658,8.379182383795925,7.07323018259385,5.674,8.296,6.53,0.904,0.59,0.516,0.09,0.318,0.21,0.112,0.37,0.17,0.36,0.156,0.114
520,5.682198309669795,8.498462599845281,7.126749092391765,5.846,8.292,6.412,0.914,0.626,0.504,0.09,0.326,0.178,0.112,0.358,0.194,0.378,0.158,0.108
521,5.611608463257726,8.447146852859445,6.936851818808784,5.778,8.214,6.378,0.9,0.586,0.53,0.09,0.318,0.19,0.112,0.358,0.164,0.362,0.152,0.112
522,5.498799428924273,8.479209712035304,6.902143707117823,5.76,8.272,6.728,0.896,0.618,0.52,0.09,0.318,0.154,0.112,0.374,0.18,0.364,0.17,0.1
523,5.536860526525106,8.457851574282957,6.908337513680946,5.934,8.334,6.552,0.93,0.626,0.516,0.09,0.314,0.166,0.112,0.362,0.176,0.366,0.136,0.09
524,5.572343520778508,8.399223743464884,6.912878879817136,5.838,8.214,6.432,0.91,0.588,0.544,0.09,0.316,0.186,0.112,0.36,0.184,0.362,0.168,0.108
525,5.623799139663797,8.361463163447011,6.91431059970064,5.85,8.218,6.53,0.91,0.6,0.504,0.09,0.332,0.202,0.112,0.348,0.17,0.37,0.15,0.11
526,5.567026085590741,8.302632050238987,6.899694457224342,5.844,8.348,6.566,0.91,0.618,0.552,0.09,0.308,0.212,0.112,0.358,0.18,0.368,0.186,0.12
527,5.602645454647024,8.426302303736268,6.8959129058419375,5.86,8.376,6.606,0.9,0.614,0.536,0.09,0.312,0.202,0.112,0.37,0.178,0.366,0.14,0.102
528,5.590862427422036,8.4188026472059,6.982275774036649,5.864,8.21,6.612,0.924,0.612,0.478,0.09,0.316,0.16,0.112,0.372,0.214,0.37,0.174,0.098
529,5.517429768897653,8.485047553359191,7.069438832341093,5.7,8.26,6.594,0.922,0.6,0.5,0.09,0.33,0.184,0.112,0.36,0.196,0.368,0.152,0.1
530,5.641824230408007,8.376472588932952,6.9267300706826544,5.8,8.206,6.568,0.908,0.616,0.548,0.09,0.314,0.186,0.112,0.374,0.164,0.374,0.144,0.112
531,5.547432482885891,8.384365438391958,6.843358487500312,5.78,8.296,6.55,0.918,0.642,0.478,0.09,0.316,0.19,0.112,0.376,0.194,0.366,0.152,0.102
532,5.568026726941829,8.387634669067728,7.173184334908686,5.742,8.234,6.49,0.916,0.596,0.514,0.09,0.328,0.224,0.112,0.37,0.16,0.376,0.136,0.126
533,5.570565904494419,8.50802358283048,7.032702208012889,5.744,8.12,6.448,0.92,0.574,0.562,0.09,0.32,0.226,0.112,0.352,0.196,0.364,0.138,0.108
534,5.648220051363488,8.54197072162671,6.990151034853422,5.762,8.222,6.304,0.92,0.578,0.536,0.09,0.334,0.194,0.112,0.354,0.172,0.376,0.118,0.114
535,5.616333832859247,8.479075248427506,7.083247001055019,5.854,8.3,6.438,0.922,0.606,0.474,0.09,0.332,0.196,0.112,0.356,0.154,0.372,0.126,0.11
536,5.497846193399753,8.500492401562557,6.817673074593501,5.786,8.342,6.368,0.916,0.618,0.494,0.09,0.326,0.208,0.112,0.374,0.186,0.372,0.164,0.108
537,5.593706321254687,8.452940358124778,7.019185526753632,5.79,8.318,6.654,0.922,0.6,0.524,0.09,0.328,0.188,0.112,0.364,0.182,0.378,0.146,0.134
538,5.574654391557787,8.403262633912117,7.0163133552690695,5.892,8.182,6.498,0.916,0.606,0.51,0.09,0.33,0.186,0.112,0.364,0.19,0.368,0.144,0.116
539,5.638625245442913,8.54312517294078,6.742466142271366,5.678,8.218,6.378,0.926,0.594,0.548,0.09,0.336,0.172,0.112,0.368,0.172,0.374,0.168,0.116
540,5.6166887229002755,8.489996507063694,6.927987280164661,5.892,8.23,6.518,0.926,0.596,0.54,0.09,0.34,0.192,0.112,0.366,0.182,0.374,0.152,0.114
541,5.540335382116165,8.40358072012357,7.107435658224618,5.764,8.188,6.378,0.922,0.61,0.534,0.09,0.326,0.21,0.112,0.36,0.166,0.37,0.14,0.12
542,5.589472444557102,8.41828979488759,7.115657544249427,5.762,8.232,6.442,0.886,0.58,0.554,0.09,0.332,0.192,0.112,0.362,0.154,0.378,0.134,0.114
543,5.618017306157369,8.41412942902284,7.03340546041215,5.646,8.132,6.472,0.9,0.602,0.512,0.09,0.318,0.204,0.112,0.358,0.2,0.372,0.142,0.088
544,5.581899087413341,8.323083510160382,7.121456454405153,5.738,8.24,6.426,0.922,0.646,0.508,0.09,0.334,0.21,0.112,0.358,0.18,0.376,0.184,0.098
545,5.484731945509899,8.403674672910833,6.9722798606086736,5.816,8.264,6.568,0.91,0.624,0.484,0.09,0.332,0.19,0.112,0.358,0.212,0.368,0.146,0.104
546,5.552821576049033,8.400284020587417,6.763777614830664,5.812,8.306,6.488,0.914,0.608,0.52,0.09,0.334,0.198,0.112,0.358,0.186,0.37,0.148,0.118
547,5.537819428585391,8.399450943416074,7.191155433236197,5.818,8.202,6.31,0.904,0.594,0.53,0.09,0.31,0.19,0.112,0.376,0.152,0.376,0.16,0.116
548,5.637946569465647,8.404526617255964,6.869869535860276,5.898,8.222,6.444,0.92,0.638,0.506,0.09,0.328,0.184,0.112,0.354,0.176,0.372,0.172,0.126
549,5.559251634717864,8.400937503669105,7.206201573638468,5.768,8.346,6.602,0.92,0.628,0.498,0.09,0.334,0.21,0.112,0.378,0.182,0.374,0.184,0.086
550,5.556246055046414,8.440473896504892,7.103498435537493,5.874,8.21,6.564,0.912,0.612,0.518,0.09,0.336,0.206,0.112,0.374,0.234,0.374,0.164,0.112
